ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779899409.742605,56,3779,2.5025,139721662545920
1779899410.475702,4,22,1.9251,70368623378432
1779899411.204395,0,0,0.0000,0
1779899411.917405,0,0,0.0000,0
1779899412.6330066,0,0,0.0000,0
1779899413.350562,0,0,0.0000,0
1779899414.0864885,0,0,0.0000,0
1779899414.8180666,32,1356,3.1761,139721662316544
1779899415.5535061,2,17,2.9534,86134784
1779899416.2718658,0,0,0.0000,0
1779899417.0303848,0,0,0.0000,0
1779899417.7645252,0,0,0.0000,0
1779899418.506065,0,0,0.0000,0
1779899419.226502,0,0,0.0000,0
1779899419.9794037,35,1132,2.7749,139721662316544
1779899420.7240381,0,0,0.0000,0
1779899421.4581108,0,0,0.0000,0
1779899422.175417,0,0,0.0000,0
1779899422.9196706,0,0,0.0000,0
1779899423.6542394,0,0,0.0000,0
1779899424.406933,1,36,4.2737,139721662316544
1779899425.1493113,45,933,2.8638,139721610670080
1779899425.8892226,0,0,0.0000,0
1779899426.6303024,0,0,0.0000,0
1779899427.3598025,0,0,0.0000,0
1779899428.090597,0,0,0.0000,0
1779899428.8398006,0,0,0.0000,0
1779899429.587466,9,155,2.4770,139721662316544
1779899430.3352137,39,1219,2.9657,139721091035136
1779899431.1224513,0,0,0.0000,0
1779899431.9327304,0,0,0.0000,0
1779899432.6981118,0,0,0.0000,0
1779899433.677801,0,0,0.0000,0
1779899434.6321223,13,429,2.9660,139721662316544
1779899435.5238378,57,2968,2.5781,139721665269760
1779899436.4443898,39,1367,2.2893,70368640581632
1779899437.304019,3,138,3.8320,139721662316544
1779899437.804556,128,11083,2.4860,139721665269760
1779899438.9385598,0,0,0.0000,0
1779899439.9641154,0,0,0.0000,0
1779899441.2501965,1,39,4.3043,139721662316544
1779899442.797072,43,1327,2.9336,139721636941824
1779899444.538352,0,0,0.0000,0
1779899446.068466,0,0,0.0000,0
1779899447.3732514,43,1029,2.8085,139721662316544
1779899448.6050594,2,17,2.9534,86134784
1779899449.8580165,0,0,0.0000,0
1779899451.130985,0,0,0.0000,0
1779899452.559549,48,1123,2.8444,139721662316544
1779899453.9913568,0,0,0.0000,0
1779899455.4832578,0,0,0.0000,0
1779899456.9718206,11,192,2.3529,139721662316544
1779899458.335118,36,752,2.9045,139720705167360
1779899459.8263242,0,0,0.0000,0
1779899460.9606426,0,0,0.0000,0
1779899462.0383952,23,505,2.5351,139721662316544
1779899463.3388357,42,1676,2.8673,139721662316544
1779899464.5896878,2,18,2.9343,86134784
1779899465.6538043,0,0,0.0000,0
1779899466.5448775,0,0,0.0000,0
1779899467.0935504,44,1304,2.8776,139721662316544
1779899468.2365572,0,0,0.0000,0
1779899469.190951,0,0,0.0000,0
1779899470.1598318,44,721,2.8215,139721662316544
1779899471.1706834,0,0,0.0000,0
1779899472.3090484,0,0,0.0000,0
1779899473.3141193,0,0,0.0000,0
1779899474.224897,0,0,0.0000,0
1779899475.176672,44,989,2.8135,139721662316544
1779899476.1629124,0,0,0.0000,0
1779899477.0643528,0,0,0.0000,0
1779899477.9987695,0,0,0.0000,0
1779899478.9919791,0,0,0.0000,0
1779899479.8602176,11,227,2.6018,139721662316544
1779899480.8855965,33,545,2.9366,139720705167360
1779899481.8335376,0,0,0.0000,0
1779899482.8606446,0,0,0.0000,0
1779899483.8386822,0,0,0.0000,0
1779899484.7000825,2,41,2.9187,139721662316544
1779899485.5076969,42,628,2.7133,139721610657792
1779899486.3643448,0,0,0.0000,0
1779899487.1510198,0,0,0.0000,0
1779899487.9646928,0,0,0.0000,0
1779899488.7757678,0,0,0.0000,0
1779899489.585113,0,0,0.0000,0
1779899490.3781018,44,714,2.7583,139721662316544
1779899491.2441146,0,0,0.0000,0
1779899492.0779486,0,0,0.0000,0
1779899492.8809032,0,0,0.0000,0
1779899493.6798975,0,0,0.0000,0
1779899494.4936194,0,0,0.0000,0
1779899495.283064,54,979,2.6510,139721662320640
1779899496.0992258,0,0,0.0000,0
1779899496.6340215,0,0,0.0000,0
1779899497.4684896,11,161,2.4737,139721662320640
1779899498.2197268,34,612,2.9659,139720705167360
1779899499.003611,0,0,0.0000,0
1779899499.7428334,0,0,0.0000,0
1779899500.5967603,0,0,0.0000,0
1779899501.3636324,0,0,0.0000,0
1779899502.149178,0,0,0.0000,0
1779899502.9030392,44,731,2.8797,139721662320640
1779899503.85096,0,0,0.0000,0
1779899504.6146398,0,0,0.0000,0
1779899505.4340298,0,0,0.0000,0
1779899506.189847,0,0,0.0000,0
1779899507.149638,0,0,0.0000,0
1779899507.9442377,46,765,2.8117,139721662320640
1779899508.7302442,0,0,0.0000,0
1779899509.4800138,0,0,0.0000,0
1779899510.2800646,0,0,0.0000,0
1779899511.0275593,0,0,0.0000,0
1779899511.8299387,0,0,0.0000,0
1779899512.6052918,21,395,2.8678,139721662320640
1779899513.3640192,27,460,2.9093,70368640368640
1779899514.1534338,0,0,0.0000,0
1779899514.970429,0,0,0.0000,0
1779899515.8031077,0,0,0.0000,0
1779899516.5991995,1,40,3.9898,139721662316544
1779899517.468571,56,2589,2.1220,139721662545920
1779899518.2518673,42,871,2.8740,139720705167360
1779899519.0418434,0,0,0.0000,0
1779899519.781366,0,0,0.0000,0
1779899520.5862792,0,0,0.0000,0
1779899521.458904,0,0,0.0000,0
1779899522.3350542,9,125,2.2553,139721662316544
1779899523.2709532,40,838,3.0942,139721091035136
1779899524.1571019,0,0,0.0000,0
1779899525.0857017,0,0,0.0000,0
1779899525.9563892,0,0,0.0000,0
1779899526.4649818,47,945,2.8984,139721662320640
1779899527.2210906,0,0,0.0000,0
1779899527.9990249,0,0,0.0000,0
1779899528.7938051,0,0,0.0000,0
1779899529.5415764,0,0,0.0000,0
1779899530.340706,44,749,2.8834,139721662320640
1779899531.1540046,0,0,0.0000,0
1779899531.935455,0,0,0.0000,0
1779899532.7137494,0,0,0.0000,0
1779899533.5337667,0,0,0.0000,0
1779899534.3661451,0,0,0.0000,0
1779899535.1387753,17,305,2.7877,139721662320640
1779899535.973635,29,534,2.8936,70368643805184
1779899536.8091216,0,0,0.0000,0
1779899537.6214724,0,0,0.0000,0
1779899538.4156435,0,0,0.0000,0
1779899539.1769722,0,0,0.0000,0
1779899539.985006,9,146,2.2372,139721662320640
1779899540.7980285,36,789,3.2291,139721091035136
1779899541.5786626,0,0,0.0000,0
1779899542.4095128,0,0,0.0000,0
1779899543.1857693,0,0,0.0000,0
1779899543.972226,0,0,0.0000,0
1779899544.7434063,0,0,0.0000,0
1779899545.477621,56,923,2.7571,139721662320640
1779899546.2636452,0,0,0.0000,0
1779899547.029005,0,0,0.0000,0
1779899547.7965698,0,0,0.0000,0
1779899548.5374994,0,0,0.0000,0
1779899549.3110185,0,0,0.0000,0
1779899550.065571,13,663,2.7671,139721665269760
1779899550.8110602,42,1085,2.9993,139720705167360
1779899551.6020854,0,0,0.0000,0
1779899552.3494713,0,0,0.0000,0
1779899553.1104572,0,0,0.0000,0
1779899553.9098136,0,0,0.0000,0
1779899554.704975,0,0,0.0000,0
1779899555.4815085,47,1081,2.9482,139721662320640
1779899556.2527866,0,0,0.0000,0
1779899556.7952864,0,0,0.0000,0
1779899557.5451794,10,156,2.5758,139721662320640
1779899558.3267734,35,553,2.8865,139720705167360
1779899559.1023662,0,0,0.0000,0
1779899559.8288858,0,0,0.0000,0
1779899560.58047,0,0,0.0000,0
1779899561.3238974,0,0,0.0000,0
1779899562.085733,0,0,0.0000,0
1779899562.8999143,45,738,2.8130,139721662320640
1779899563.6923492,0,0,0.0000,0
1779899564.5365205,0,0,0.0000,0
1779899565.3116944,0,0,0.0000,0
1779899566.0850852,0,0,0.0000,0
1779899566.851931,0,0,0.0000,0
1779899567.6252415,12,187,2.7660,139721662320640
1779899568.4196942,35,578,2.8302,70368667201536
1779899569.1968093,0,0,0.0000,0
1779899569.9626236,0,0,0.0000,0
1779899570.755273,0,0,0.0000,0
1779899571.5477028,1,38,4.1814,139721662316544
1779899572.337462,20,251,2.6446,139721662320640
1779899573.1215591,45,1137,2.9080,139721636941824
1779899573.8923638,0,0,0.0000,0
1779899574.7327244,0,0,0.0000,0
1779899575.527449,0,0,0.0000,0
1779899576.3217044,0,0,0.0000,0
1779899577.080484,0,0,0.0000,0
1779899577.8882463,45,904,2.8469,139721662320640
1779899578.6797705,0,0,0.0000,0
1779899579.458955,0,0,0.0000,0
1779899580.221932,0,0,0.0000,0
1779899580.9747171,0,0,0.0000,0
1779899581.751048,0,0,0.0000,0
1779899582.529265,8,81,2.1634,139721662320640
1779899583.2747738,37,1105,3.0599,139721091035136
1779899584.0471728,0,0,0.0000,0
1779899584.8724968,0,0,0.0000,0
1779899585.64648,0,0,0.0000,0
1779899586.420067,0,0,0.0000,0
1779899586.9541528,45,763,2.8180,139721662320640
1779899587.7603402,0,0,0.0000,0
1779899588.5401716,0,0,0.0000,0
1779899589.3445625,398,70680,2.8352,139721665269760
1779899590.2165492,9,163,2.2373,139721662320640
1779899591.0031831,37,1584,3.0981,139720713560064
1779899591.8149576,0,0,0.0000,0
1779899592.6346219,0,0,0.0000,0
1779899593.4203484,0,0,0.0000,0
1779899594.183957,0,0,0.0000,0
1779899594.9712942,5,60,2.3974,139721662320640
1779899595.766582,47,1102,2.7723,139721610649600
1779899596.5948107,0,0,0.0000,0
1779899597.3553793,0,0,0.0000,0
1779899598.189071,0,0,0.0000,0
1779899598.9856234,0,0,0.0000,0
1779899599.7747972,0,0,0.0000,0
1779899600.5628574,46,1063,2.8896,139721662316544
1779899601.4394934,0,0,0.0000,0
1779899602.2283957,0,0,0.0000,0
1779899603.052417,0,0,0.0000,0
1779899603.8642411,0,0,0.0000,0
1779899604.6708865,0,0,0.0000,0
1779899605.4311073,25,318,2.6817,139721662316544
1779899606.26861,23,415,2.7290,70368637505536
1779899607.0474277,0,0,0.0000,0
1779899607.8849518,0,0,0.0000,0
1779899608.6977553,0,0,0.0000,0
1779899609.4827166,0,0,0.0000,0
1779899610.3186178,10,181,2.8982,139721662316544
1779899611.124583,38,668,2.8694,139720705167360
1779899611.9669902,0,0,0.0000,0
1779899612.731239,0,0,0.0000,0
1779899613.5437322,0,0,0.0000,0
1779899614.352886,0,0,0.0000,0
1779899615.1231415,3,49,2.9592,139721662316544
1779899615.8911688,44,1035,2.9262,139721610670080
1779899616.4347422,0,0,0.0000,0
1779899617.1959193,0,0,0.0000,0
1779899617.9389443,22,308,2.9589,139721662316544
1779899618.7454739,22,368,2.8321,70368640368640
1779899619.5328202,0,0,0.0000,0
1779899620.3144667,0,0,0.0000,0
1779899621.091879,0,0,0.0000,0
1779899621.8467271,0,0,0.0000,0
1779899622.6299987,3,55,3.0975,139721662316544
1779899623.4182217,44,679,2.9234,139721610670080
1779899624.1887052,0,0,0.0000,0
1779899624.9690838,0,0,0.0000,0
1779899625.7635572,0,0,0.0000,0
1779899626.5614672,0,0,0.0000,0
1779899627.3050203,30,526,2.4876,139721662545920
1779899628.0613952,52,1073,2.7584,139721662316544
1779899628.818948,2,17,2.7733,86134784
1779899629.5639935,0,0,0.0000,0
1779899630.3422022,0,0,0.0000,0
1779899631.1376057,0,0,0.0000,0
1779899631.9264894,0,0,0.0000,0
1779899632.7219586,8,128,2.5916,139721662316544
1779899633.5615616,41,687,2.8399,139720713560064
1779899634.3987458,0,0,0.0000,0
1779899635.2012525,0,0,0.0000,0
1779899635.972076,0,0,0.0000,0
1779899636.7513468,0,0,0.0000,0
1779899637.516364,0,0,0.0000,0
1779899638.271248,47,1251,2.9530,139721662316544
1779899639.0397503,0,0,0.0000,0
1779899639.8237474,0,0,0.0000,0
1779899640.6008132,0,0,0.0000,0
1779899641.3679125,0,0,0.0000,0
1779899642.204641,0,0,0.0000,0
1779899642.9723067,23,434,2.8474,139721662316544
1779899643.7585115,22,361,2.8630,70368640368640
1779899644.5506687,0,0,0.0000,0
1779899645.345611,0,0,0.0000,0
1779899646.1324348,0,0,0.0000,0
1779899646.6420205,45,935,2.8230,139721662316544
1779899647.3794224,0,0,0.0000,0
1779899648.1396658,0,0,0.0000,0
1779899648.8846517,0,0,0.0000,0
1779899649.685016,0,0,0.0000,0
1779899650.4417121,9,242,3.3037,139721662316544
1779899651.223343,38,592,2.8411,139720705167360
1779899652.0720649,0,0,0.0000,0
1779899652.89441,0,0,0.0000,0
1779899653.6764288,0,0,0.0000,0
1779899654.4541996,0,0,0.0000,0
1779899655.295026,8,83,2.3215,139721662316544
1779899656.041397,40,1101,2.9958,139720713560064
1779899656.8397443,0,0,0.0000,0
1779899657.5648463,0,0,0.0000,0
1779899658.3481352,0,0,0.0000,0
1779899659.0766492,0,0,0.0000,0
1779899659.8725379,0,0,0.0000,0
1779899660.6018136,43,783,2.8438,139721662316544
1779899661.4068947,2,18,3.0112,86134784
1779899662.1548104,0,0,0.0000,0
1779899662.9369574,0,0,0.0000,0
1779899663.6919174,0,0,0.0000,0
1779899664.5178921,0,0,0.0000,0
1779899665.3067725,8,83,2.2681,139721662316544
1779899666.0566802,37,899,3.0187,139720713560064
1779899666.8385477,0,0,0.0000,0
1779899667.5769856,0,0,0.0000,0
1779899668.3385315,0,0,0.0000,0
1779899669.0946107,0,0,0.0000,0
1779899669.8746033,0,0,0.0000,0
1779899670.622516,45,771,2.8330,139721662316544
1779899671.4980347,2,20,3.1144,86134784
1779899672.2673576,0,0,0.0000,0
1779899673.0626612,0,0,0.0000,0
1779899673.8189518,0,0,0.0000,0
1779899674.5799484,0,0,0.0000,0
1779899675.3259273,7,81,2.6293,139721662316544
1779899676.1164358,38,1116,3.1233,139720713560064
1779899676.6259003,0,0,0.0000,0
1779899677.38312,0,0,0.0000,0
1779899678.1526892,35,685,2.8631,139721662316544
1779899678.9107416,11,120,2.3466,70368626380800
1779899679.6737094,0,0,0.0000,0
1779899680.426027,0,0,0.0000,0
1779899681.1950254,0,0,0.0000,0
1779899681.9675133,22,463,2.4355,139721662545920
1779899682.796636,43,992,2.1729,139721662316544
1779899683.617845,38,1008,2.9451,139721601466368
1779899684.449571,0,0,0.0000,0
1779899685.2856307,0,0,0.0000,0
1779899686.08556,0,0,0.0000,0
1779899686.8880267,0,0,0.0000,0
1779899687.6450655,0,0,0.0000,0
1779899688.4138837,46,819,2.9095,139721662316544
1779899689.192529,0,0,0.0000,0
1779899689.973284,0,0,0.0000,0
1779899690.7208722,0,0,0.0000,0
1779899691.516406,0,0,0.0000,0
1779899692.284999,0,0,0.0000,0
1779899693.051264,10,152,2.7428,139721662316544
1779899693.7852154,37,687,2.9045,139720705167360
1779899694.5668733,0,0,0.0000,0
1779899695.3107526,0,0,0.0000,0
1779899696.0529647,0,0,0.0000,0
1779899696.8240168,0,0,0.0000,0
1779899697.5727053,0,0,0.0000,0
1779899698.3721373,46,774,2.8683,139721662316544
1779899699.1206613,0,0,0.0000,0
1779899699.8669424,0,0,0.0000,0
1779899700.6162405,0,0,0.0000,0
1779899701.370853,0,0,0.0000,0
1779899702.1102736,0,0,0.0000,0
1779899702.86587,3,49,2.7561,139721662316544
1779899703.6501884,43,852,2.9452,139721610670080
1779899704.418268,0,0,0.0000,0
1779899705.2024765,0,0,0.0000,0
1779899705.719208,23,348,2.8463,139721662316544
1779899706.4632788,21,354,2.9404,70368640368640
1779899707.2214599,0,0,0.0000,0
1779899707.9853077,0,0,0.0000,0
1779899708.7408798,0,0,0.0000,0
1779899709.531872,0,0,0.0000,0
1779899710.2972546,0,0,0.0000,0
1779899711.0348463,45,1068,2.9954,139721662316544
1779899711.7601612,0,0,0.0000,0
1779899712.5156312,0,0,0.0000,0
1779899713.288353,0,0,0.0000,0
1779899714.0859435,0,0,0.0000,0
1779899714.8300447,0,0,0.0000,0
1779899715.5788634,8,118,2.5851,139721662316544
1779899716.3501465,39,743,2.9795,139720713560064
1779899717.1815603,0,0,0.0000,0
1779899717.9687884,0,0,0.0000,0
1779899718.710705,0,0,0.0000,0
1779899719.470678,0,0,0.0000,0
1779899720.2348325,0,0,0.0000,0
1779899721.006755,45,852,2.9297,139721662316544
1779899721.7822783,0,0,0.0000,0
1779899722.543971,0,0,0.0000,0
1779899723.3475423,0,0,0.0000,0
1779899724.1011863,0,0,0.0000,0
1779899724.9026222,0,0,0.0000,0
1779899725.6467998,9,167,2.9773,139721662316544
1779899726.4156387,34,552,2.8737,139720705167360
1779899727.1591375,0,0,0.0000,0
1779899727.994037,0,0,0.0000,0
1779899728.7264893,0,0,0.0000,0
1779899729.466069,0,0,0.0000,0
1779899730.1982656,0,0,0.0000,0
1779899731.0030131,43,697,2.8581,139721662316544
1779899731.823763,0,0,0.0000,0
