ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779902710.2372873,74,4632,2.5496,134955102011392
1779902710.9338584,2,18,2.9037,86134784
1779902711.6028364,0,0,0.0000,0
1779902712.2800248,0,0,0.0000,0
1779902712.970509,0,0,0.0000,0
1779902713.6560318,11,143,1.9624,134955101921280
1779902714.3393216,7,70,2.1603,134955101921280
1779902715.051619,22,731,2.9371,134955102007296
1779902715.7554734,40,924,2.6078,25200643674112
1779902716.4397748,0,0,0.0000,0
1779902717.1108487,0,0,0.0000,0
1779902717.6385736,12,576,3.2642,134955102007296
1779902718.2979882,37,609,2.6103,25200643674112
1779902718.9564679,0,0,0.0000,0
1779902719.6220238,0,0,0.0000,0
1779902720.284584,0,0,0.0000,0
1779902721.004075,0,0,0.0000,0
1779902721.707158,0,0,0.0000,0
1779902722.4769979,7,66,1.8829,134955102011392
1779902723.1681035,43,1012,2.8670,134954692362240
1779902723.8368404,0,0,0.0000,0
1779902724.5106685,0,0,0.0000,0
1779902725.1685576,0,0,0.0000,0
1779902725.8242402,0,0,0.0000,0
1779902726.4975643,0,0,0.0000,0
1779902727.15274,0,0,0.0000,0
1779902727.8795183,46,732,2.7019,134955102011392
1779902728.574718,2,19,3.0646,86134784
1779902729.2812736,0,0,0.0000,0
1779902730.0089145,0,0,0.0000,0
1779902730.679966,0,0,0.0000,0
1779902731.3713589,0,0,0.0000,0
1779902732.0330348,0,0,0.0000,0
1779902732.6951525,12,460,3.1557,134955102007296
1779902733.3853025,47,813,2.2833,134955104874496
1779902734.0378137,62,4204,2.3054,134954692362240
1779902734.6977391,0,0,0.0000,0
1779902735.372063,0,0,0.0000,0
1779902736.036364,0,0,0.0000,0
1779902736.7183714,106,7200,2.2054,134955104874496
1779902737.3999307,80,7383,2.5479,134955102007296
1779902738.0834823,45,1679,2.8501,134955059195904
1779902738.7557795,0,0,0.0000,0
1779902739.4018128,0,0,0.0000,0
1779902740.0628817,0,0,0.0000,0
1779902740.7099407,0,0,0.0000,0
1779902741.3553245,0,0,0.0000,0
1779902742.006898,0,0,0.0000,0
1779902742.6926491,10,161,2.6395,134955102007296
1779902743.3659883,34,1130,3.0081,134954147098624
1779902744.0378823,0,0,0.0000,0
1779902744.6981735,0,0,0.0000,0
1779902745.404573,0,0,0.0000,0
1779902746.1520696,0,0,0.0000,0
1779902746.996671,0,0,0.0000,0
1779902747.541083,46,1070,2.8504,134955102007296
1779902748.2522328,0,0,0.0000,0
1779902748.9483774,0,0,0.0000,0
1779902749.6401126,0,0,0.0000,0
1779902750.3105693,23,689,2.9733,134955102007296
1779902750.9853108,23,346,2.5975,25200626528256
1779902751.6542861,0,0,0.0000,0
1779902752.3143165,0,0,0.0000,0
1779902752.9759517,0,0,0.0000,0
1779902753.6373665,0,0,0.0000,0
1779902754.3036892,0,0,0.0000,0
1779902754.9758246,2,48,3.4526,134955102007296
1779902755.6633508,42,681,2.8419,134955059195904
1779902756.4834304,0,0,0.0000,0
1779902757.22304,0,0,0.0000,0
1779902757.95176,0,0,0.0000,0
1779902758.6244128,0,0,0.0000,0
1779902759.2988594,0,0,0.0000,0
1779902759.980305,20,472,2.8796,134955102007296
1779902760.6512632,44,784,2.7296,134955059195904
1779902761.3313081,19,579,2.5113,134955101921280
1779902762.0087843,1,1,0.0000,85979136
1779902762.6774478,0,0,0.0000,0
1779902763.341692,0,0,0.0000,0
1779902764.0006804,0,0,0.0000,0
1779902764.675327,0,0,0.0000,0
1779902765.3327253,23,660,3.0502,134955102007296
1779902765.99731,23,398,2.6290,25200626528256
1779902766.6854887,0,0,0.0000,0
1779902767.3566122,0,0,0.0000,0
1779902768.040764,0,0,0.0000,0
1779902768.7227962,0,0,0.0000,0
1779902769.4011018,0,0,0.0000,0
1779902770.0777912,6,76,1.9205,134955102007296
1779902770.7505956,40,1134,3.0802,134954692362240
1779902771.4177403,0,0,0.0000,0
1779902772.0655775,0,0,0.0000,0
1779902772.726486,0,0,0.0000,0
1779902773.388549,0,0,0.0000,0
1779902774.0430672,0,0,0.0000,0
1779902774.6867554,0,0,0.0000,0
1779902775.3486629,22,379,3.0849,134955102007296
1779902776.010924,23,364,2.5766,25200626528256
1779902776.692303,0,0,0.0000,0
1779902777.2219284,0,0,0.0000,0
1779902777.9028816,24,483,2.8986,134955102007296
1779902778.5674577,21,262,2.6138,25200615374848
1779902779.2456994,0,0,0.0000,0
1779902779.9024467,0,0,0.0000,0
1779902780.55175,0,0,0.0000,0
1779902781.2260094,0,0,0.0000,0
1779902781.878006,0,0,0.0000,0
1779902782.5330377,2,41,3.2295,134955102007296
1779902783.1929784,43,681,2.7674,134955059195904
1779902783.8729992,0,0,0.0000,0
