ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779903442.47144,53,3391,2.7569,135285320949760
1779903443.259238,0,0,0.0000,0
1779903443.978775,0,0,0.0000,0
1779903444.7138417,0,0,0.0000,0
1779903445.4170952,0,0,0.0000,0
1779903446.1085155,0,0,0.0000,0
1779903446.8380055,15,580,2.8808,135287314776064
1779903447.5600457,35,650,3.0350,69563270594560
1779903448.2724307,0,0,0.0000,0
1779903449.0067048,0,0,0.0000,0
1779903449.7217634,0,0,0.0000,0
1779903450.4428499,0,0,0.0000,0
1779903451.1693423,0,0,0.0000,0
1779903451.9071703,27,906,3.1158,135287314771968
1779903452.6480606,21,417,2.8654,69563243429888
1779903453.407885,0,0,0.0000,0
1779903454.1075249,0,0,0.0000,0
1779903454.8115923,0,0,0.0000,0
1779903455.5045393,0,0,0.0000,0
1779903456.185881,0,0,0.0000,0
1779903456.8887446,18,276,2.8352,135287314771968
1779903457.572898,28,772,3.0281,69563257032704
1779903458.2647705,0,0,0.0000,0
1779903458.9499688,0,0,0.0000,0
1779903459.6347136,0,0,0.0000,0
1779903460.3270235,0,0,0.0000,0
1779903461.0300148,0,0,0.0000,0
1779903461.7186341,11,92,2.1328,135287314771968
1779903462.4108906,35,885,3.0891,135285354520576
1779903462.95337,0,0,0.0000,0
1779903463.6635463,0,0,0.0000,0
1779903464.4821322,37,659,3.0404,135287314771968
1779903465.2123735,26,1438,2.4515,135287314771968
1779903465.936273,50,3205,2.3904,135285320949760
1779903466.6602879,0,0,0.0000,0
1779903467.3468444,0,0,0.0000,0
1779903468.0453603,11,285,2.0344,135287314776064
1779903468.740648,125,11349,2.3905,135287314776064
1779903469.4645,36,1415,2.6188,135287314776064
1779903470.167008,26,487,2.9743,69563244781568
1779903470.878256,0,0,0.0000,0
1779903471.5769374,0,0,0.0000,0
1779903472.269955,0,0,0.0000,0
1779903472.9907217,0,0,0.0000,0
1779903473.6941795,0,0,0.0000,0
1779903474.4058063,18,883,2.9441,135287314771968
1779903475.169098,29,558,3.0371,69563257032704
1779903475.8697472,0,0,0.0000,0
1779903476.5615833,0,0,0.0000,0
1779903477.2616525,0,0,0.0000,0
1779903477.954252,0,0,0.0000,0
1779903478.631362,0,0,0.0000,0
1779903479.3308308,13,529,2.6829,135287314771968
1779903480.015209,32,575,3.0321,135285320949760
1779903480.710006,0,0,0.0000,0
1779903481.402742,0,0,0.0000,0
1779903482.0973103,0,0,0.0000,0
1779903482.793821,0,0,0.0000,0
1779903483.4834943,0,0,0.0000,0
1779903484.192981,5,65,2.7700,135287314771968
