ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_id_changed
1779881576.252191,2,0,0.0000,476
1779881576.7834945,0,0,0.0000,0
1779881577.301977,0,0,0.0000,0
1779881577.8325944,0,0,0.0000,0
1779881578.3640664,0,0,0.0000,0
1779881578.9054608,0,0,0.0000,0
1779881579.4528182,0,0,0.0000,0
1779881579.9977236,0,0,0.0000,0
1779881580.5478756,0,0,0.0000,0
1779881581.0940046,0,0,0.0000,0
1779881581.6472893,0,0,0.0000,0
1779881582.174713,0,0,0.0000,0
1779881582.6892521,0,0,0.0000,0
1779881583.2023106,0,0,0.0000,0
1779881583.747319,0,0,0.0000,0
1779881584.2593012,0,0,0.0000,0
1779881584.7717104,0,0,0.0000,0
1779881585.2833817,0,0,0.0000,0
1779881585.7958083,0,0,0.0000,0
1779881586.3081434,0,0,0.0000,0
1779881586.8202858,0,0,0.0000,0
1779881587.332532,0,0,0.0000,0
1779881587.8466861,0,0,0.0000,0
1779881588.359093,0,0,0.0000,0
1779881588.8710854,0,0,0.0000,0
1779881589.3830857,0,0,0.0000,0
1779881589.8953757,0,0,0.0000,0
1779881590.4074545,0,0,0.0000,0
1779881590.9196277,0,0,0.0000,0
1779881591.4319508,0,0,0.0000,0
1779881591.9441397,0,0,0.0000,0
1779881592.456592,0,0,0.0000,0
1779881592.969256,0,0,0.0000,0
1779881593.4812818,0,0,0.0000,0
1779881593.994188,0,0,0.0000,0
1779881594.5069864,0,0,0.0000,0
1779881595.0193145,0,0,0.0000,0
1779881595.5323129,0,0,0.0000,0
1779881596.0453506,0,0,0.0000,0
1779881596.5587444,0,0,0.0000,0
1779881597.0712733,0,0,0.0000,0
1779881597.585741,0,0,0.0000,0
1779881598.0980043,0,0,0.0000,0
1779881598.60999,0,0,0.0000,0
1779881599.1229954,0,0,0.0000,0
1779881599.6354716,0,0,0.0000,0
1779881600.1473513,0,0,0.0000,0
1779881600.659632,0,0,0.0000,0
1779881601.1713502,0,0,0.0000,0
1779881601.6837134,0,0,0.0000,0
1779881602.1962354,0,0,0.0000,0
1779881602.7082698,0,0,0.0000,0
1779881603.2201672,0,0,0.0000,0
1779881603.7321444,0,0,0.0000,0
1779881604.244398,0,0,0.0000,0
1779881604.7564855,0,0,0.0000,0
1779881605.2686584,0,0,0.0000,0
1779881605.7810981,777,0,0.0000,942
1779881606.2984118,0,0,0.0000,0
1779881606.8251226,0,0,0.0000,0
1779881607.37605,0,0,0.0000,0
1779881607.9221005,0,0,0.0000,0
1779881608.4713235,0,0,0.0000,0
1779881609.0174932,0,0,0.0000,0
1779881609.5512319,0,0,0.0000,0
1779881610.0925028,0,0,0.0000,0
1779881610.6300154,0,0,0.0000,0
1779881611.17007,0,0,0.0000,0
1779881611.7135801,0,0,0.0000,0
1779881612.2550251,0,0,0.0000,0
1779881612.8056257,0,0,0.0000,0
1779881613.3525455,0,0,0.0000,0
1779881613.8998718,0,0,0.0000,0
1779881614.445651,0,0,0.0000,0
1779881614.9832053,0,0,0.0000,0
1779881615.535836,0,0,0.0000,0
1779881616.0888004,0,0,0.0000,0
1779881616.637417,0,0,0.0000,0
1779881617.1884863,0,0,0.0000,0
1779881617.7354567,0,0,0.0000,0
1779881618.2840598,0,0,0.0000,0
1779881618.8309588,0,0,0.0000,0
1779881619.3797576,0,0,0.0000,0
1779881619.9304771,0,0,0.0000,0
1779881620.4757807,0,0,0.0000,0
1779881621.0237396,0,0,0.0000,0
1779881621.5741594,0,0,0.0000,0
1779881622.1252644,0,0,0.0000,0
1779881622.6719818,0,0,0.0000,0
1779881623.210772,0,0,0.0000,0
1779881623.759901,0,0,0.0000,0
1779881624.3130581,0,0,0.0000,0
1779881624.847828,0,0,0.0000,0
1779881625.3976655,0,0,0.0000,0
1779881625.9279778,0,0,0.0000,0
1779881626.4719179,0,0,0.0000,0
1779881627.009728,0,0,0.0000,0
1779881627.5598338,0,0,0.0000,0
1779881628.1128628,0,0,0.0000,0
1779881628.6515641,0,0,0.0000,0
1779881629.1895578,0,0,0.0000,0
1779881629.7285607,0,0,0.0000,0
1779881630.275551,0,0,0.0000,0
1779881630.8196747,0,0,0.0000,0
1779881631.3532665,0,0,0.0000,0
1779881631.8883276,0,0,0.0000,0
1779881632.425645,0,0,0.0000,0
1779881632.9638016,0,0,0.0000,0
1779881633.4931352,0,0,0.0000,0
1779881634.025625,0,0,0.0000,0
1779881634.5569317,0,0,0.0000,0
1779881635.077805,0,0,0.0000,0
1779881635.6006763,0,0,0.0000,0
