ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_id_changed
1779849543.8610656,34,0,0.0000,6250
1779849544.3625908,36,328,1.2092,6852
1779849544.899948,34,327,1.2130,6250
1779849545.4430172,36,331,1.2465,6852
1779849545.9787886,34,323,1.2063,6250
1779849546.5166957,36,330,1.2212,6852
1779849547.0556474,34,343,1.2798,6250
1779849547.5937285,36,326,1.2093,6852
1779849548.1344032,34,330,1.2238,6250
1779849548.6780748,36,325,1.2052,6852
1779849549.2226794,34,331,1.2730,6250
1779849549.765858,36,324,1.2086,6852
1779849550.3109865,34,332,1.2255,6250
1779849550.8554173,36,331,1.2582,6852
1779849551.3953648,34,328,1.2218,6250
1779849551.9376044,36,325,1.2097,6852
1779849552.4814272,34,333,1.2856,6250
1779849553.016521,36,327,1.2129,6852
1779849553.5608041,34,324,1.2111,6250
1779849554.1026177,36,331,1.2576,6852
1779849554.6471982,34,324,1.2096,6250
1779849555.19129,36,353,1.2109,6852
1779849555.7294981,35,355,1.2597,6852
1779849556.2737944,35,326,1.2164,6250
1779849556.8113062,36,325,1.1714,6852
1779849557.3500528,34,331,1.2484,6250
1779849557.8868167,36,326,1.2130,6852
1779849558.4295928,34,328,1.2210,6250
1779849558.9662628,36,332,1.2453,6852
1779849559.5069187,34,329,1.2307,6250
1779849560.0522945,36,326,1.2089,6852
1779849560.5862715,34,333,1.2445,6250
1779849561.131497,36,326,1.2139,6852
1779849561.676064,34,325,1.1931,6250
1779849562.2208269,36,332,1.2836,6852
1779849562.7620885,34,326,1.2164,6250
1779849563.3121784,36,375,1.4608,6852
1779849563.857995,36,330,1.1895,6852
1779849564.4004707,34,327,1.2024,6250
1779849564.9420316,36,329,1.2549,6852
1779849565.4838915,34,330,1.2066,6250
1779849566.027108,36,409,1.2989,6852
1779849566.5669768,34,470,1.5723,6250
1779849567.1106343,36,328,1.2045,6852
1779849567.6546865,34,326,1.2069,6250
1779849568.1812916,36,330,1.2563,6852
1779849568.722933,35,326,1.2078,6852
1779849569.262128,35,327,1.2195,6250
1779849569.806679,36,328,1.1998,6852
1779849570.346494,34,333,1.2165,6250
1779849570.8838055,36,323,1.2073,6852
1779849571.427132,34,331,1.2492,6250
1779849571.9718308,36,324,1.2097,6852
1779849572.5105705,34,326,1.2140,6250
1779849573.0521011,36,331,1.2705,6852
1779849573.5940187,34,323,1.2008,6250
1779849574.1355271,36,329,1.2221,6852
1779849574.6741347,34,334,1.2604,6250
1779849575.218625,36,326,1.1968,6852
1779849575.7641525,34,325,1.2077,6250
1779849576.3090565,36,329,1.2490,6852
1779849576.8481522,34,324,1.2239,6250
1779849577.3913455,36,327,1.2155,6852
1779849577.9452782,34,330,1.2588,6250
1779849578.4805326,36,337,1.2312,6852
1779849579.0208046,35,339,1.2297,6852
1779849579.560922,35,365,1.2633,6250
1779849580.1052256,36,327,1.1787,6852
1779849580.6513262,34,329,1.1925,6250
1779849581.1711555,36,331,1.2471,6852
1779849581.7055547,34,329,1.2436,6250
1779849582.2422621,36,327,1.2180,6852
1779849582.7836754,34,327,1.2386,6250
1779849583.3278024,36,332,1.2353,6852
1779849583.8659914,34,324,1.2074,6250
1779849584.4108546,36,331,1.2385,6852
1779849584.950207,34,323,1.1936,6250
1779849585.4811056,36,328,1.2139,6852
1779849586.0131135,34,333,1.2831,6250
1779849586.557378,36,323,1.2094,6852
1779849587.102151,34,344,1.3069,6250
1779849587.6390948,36,331,1.2386,6852
1779849588.1737494,34,327,1.2099,6250
1779849588.7152956,36,323,1.1905,6852
1779849589.2538905,34,331,1.2492,6250
1779849589.7941504,36,327,1.2460,6852
1779849590.3340292,34,326,1.2143,6250
1779849590.877712,36,326,1.2214,6852
1779849591.419211,35,335,1.2527,6852
1779849591.9513261,35,330,1.2315,6250
1779849592.4842856,36,490,1.3888,6852
1779849593.0162828,36,421,1.4095,6852
1779849593.5590842,36,335,1.2281,6852
