ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779937747.420885,35,336,1.1978,134824451080192
1779937747.9548132,37,337,1.1644,134824453496832
1779937748.4642143,37,361,1.1906,134824451080192
1779937749.0029755,39,347,1.1894,134824453496832
1779937749.5328841,35,327,1.2006,134824451080192
1779937750.036445,37,336,1.2068,134824453496832
1779937750.5844295,35,331,1.1993,134824451080192
1779937751.0887904,37,332,1.1780,134824453496832
1779937751.6215336,36,328,1.2182,134824453496832
1779937752.1223,36,330,1.1550,134824451080192
1779937752.6356738,36,329,1.2229,134824453496832
1779937753.1411328,36,331,1.1999,134824451080192
1779937753.6420538,36,331,1.2167,134824453496832
1779937754.1659033,36,332,1.1636,134824451080192
1779937754.6869452,36,332,1.2190,134824453496832
1779937755.190301,36,340,1.1908,134824451080192
1779937755.6918848,36,330,1.2049,134824453496832
1779937756.196244,36,328,1.1516,134824451080192
1779937756.701253,36,335,1.2715,134824453496832
1779937757.2057571,36,329,1.1802,134824451080192
1779937757.7126637,36,330,1.2140,134824453496832
1779937758.2170553,36,332,1.2086,134824451080192
1779937758.721307,36,333,1.2152,134824453496832
1779937759.2241015,36,352,1.1554,134824451080192
1779937759.7321775,36,357,1.2694,134824453496832
1779937760.2351615,36,329,1.1519,134824451080192
1779937760.7401426,36,334,1.2082,134824453496832
1779937761.2751105,36,332,1.2067,134824451080192
1779937761.8063269,36,331,1.2159,134824453496832
1779937762.3396258,36,335,1.1697,134824451080192
1779937762.8836176,37,338,1.2182,134824453496832
1779937763.4151173,35,331,1.2099,134824451080192
1779937763.94794,37,328,1.1713,134824453496832
1779937764.481374,35,331,1.2351,134824451080192
1779937765.01693,37,333,1.1895,134824453496832
1779937765.5182517,35,327,1.2043,134824451080192
1779937766.0670836,37,330,1.1963,134824453496832
1779937766.5701487,35,325,1.1852,134824451080192
1779937767.0724194,37,347,1.2806,134824453496832
1779937767.574107,35,330,1.2150,134824451080192
1779937768.0745597,37,332,1.2020,134824453496832
1779937768.576393,35,323,1.1841,134824451080192
1779937769.0914345,37,333,1.1931,134824453496832
1779937769.6325648,35,329,1.2270,134824451080192
1779937770.1658545,37,334,1.1940,134824453496832
1779937770.696427,35,323,1.1931,134824451080192
1779937771.227388,37,337,1.2034,134824453496832
