ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_id_changed
1779848456.0612657,34,0,0.0000,6283
1779848456.6091557,36,329,1.1867,6852
1779848457.1438549,34,328,1.2120,6283
1779848457.6787024,36,327,1.2110,6852
1779848458.21489,34,329,1.2376,6283
1779848458.736842,36,326,1.2046,6852
1779848459.2746494,34,330,1.2268,6283
1779848459.8110762,36,328,1.2355,6852
1779848460.3543582,34,329,1.2166,6283
1779848460.8941042,36,324,1.2059,6852
1779848461.4334188,34,333,1.2819,6283
1779848461.9669309,36,325,1.2097,6852
1779848462.502362,34,328,1.2225,6283
1779848463.0348403,36,336,1.2609,6852
1779848463.5747406,34,322,1.2103,6283
1779848464.0952451,36,327,1.2195,6852
1779848464.6330862,34,329,1.2470,6283
1779848465.1687381,36,328,1.2260,6852
1779848465.709566,34,325,1.2127,6283
1779848466.252238,36,332,1.2487,6852
1779848466.7962537,34,323,1.2057,6283
1779848467.3338175,36,328,1.2193,6852
1779848467.868368,34,376,1.2223,6283
1779848468.4141064,36,326,1.2092,6852
1779848468.9580216,34,326,1.2065,6283
1779848469.4970074,36,327,1.2195,6852
1779848470.0374572,34,329,1.2469,6283
1779848470.5782523,36,327,1.2195,6852
1779848471.1184535,34,327,1.2169,6283
1779848471.6613069,36,331,1.2489,6852
1779848472.194196,34,326,1.2149,6283
1779848472.724361,36,330,1.2092,6852
1779848473.2563725,34,330,1.2463,6283
1779848473.782777,36,323,1.2119,6852
1779848474.3221116,34,328,1.2210,6283
1779848474.8586626,36,329,1.2755,6852
1779848475.3937113,34,326,1.2164,6283
1779848475.9273412,36,341,1.2500,6852
1779848476.4621587,34,333,1.2577,6283
1779848477.000981,36,326,1.2201,6852
1779848477.5360112,34,329,1.2183,6283
1779848478.075936,36,325,1.1977,6852
1779848478.6202219,34,331,1.2445,6283
1779848479.1415982,36,586,1.4218,6852
1779848479.6677368,36,328,1.1759,6852
1779848480.2014768,34,326,1.2063,6283
1779848480.740475,36,329,1.2358,6852
1779848481.28495,34,327,1.2211,6283
1779848481.82816,36,326,1.2108,6852
1779848482.3706677,34,330,1.2259,6283
1779848482.9152708,36,330,1.2427,6852
1779848483.456721,34,327,1.2180,6283
1779848484.0010586,36,324,1.2074,6852
1779848484.5333068,34,331,1.2468,6283
1779848485.0787344,36,330,1.2285,6852
1779848485.61879,34,322,1.2054,6283
1779848486.1634693,36,334,1.2856,6852
1779848486.7048402,34,327,1.2239,6283
1779848487.2501945,36,330,1.2227,6852
1779848487.794578,34,329,1.2363,6283
1779848488.3390698,36,327,1.1999,6852
1779848488.8801365,34,324,1.2096,6283
1779848489.4200969,36,331,1.2501,6852
1779848489.9625916,34,328,1.2228,6283
1779848490.5065114,36,328,1.2124,6852
1779848491.0534885,35,341,1.2935,6852
1779848491.5969017,35,326,1.2079,6283
1779848492.1419582,36,335,1.1788,6852
1779848492.6874049,34,365,1.2647,6283
1779848493.2324877,36,326,1.2051,6852
1779848493.7729719,34,324,1.2071,6283
1779848494.318053,36,341,1.2711,6852
1779848494.8604,34,328,1.2405,6283
1779848495.4010031,36,329,1.2292,6852
1779848495.942543,34,327,1.2393,6283
1779848496.4838984,36,328,1.2213,6852
1779848497.0168629,34,325,1.2112,6283
1779848497.556447,36,331,1.2428,6852
1779848498.1007998,34,329,1.2190,6283
1779848498.6430852,36,328,1.2171,6852
1779848499.1834836,34,329,1.2476,6283
1779848499.7075746,36,331,1.2600,6852
1779848500.2473445,34,341,1.3429,6283
1779848500.7863967,36,325,1.1832,6852
1779848501.3270416,34,331,1.2438,6283
1779848501.8732667,36,325,1.2082,6852
1779848502.415545,34,328,1.2182,6283
1779848502.9573193,36,329,1.2411,6852
1779848503.503106,34,327,1.2515,6283
1779848504.0447788,36,328,1.2240,6852
1779848504.5841968,34,332,1.2465,6283
1779848505.120373,36,331,1.2403,6852
1779848505.664108,34,388,1.2897,6283
1779848506.1984296,36,496,1.4381,6852
1779848506.733662,34,328,1.1973,6283
1779848507.2743459,36,329,1.2191,6852
1779848507.816845,34,328,1.2347,6283
1779848508.360793,36,331,1.2328,6852
1779848508.8727996,36,354,1.2398,6852
1779848509.4124718,34,328,1.2237,6283
1779848509.9382024,36,328,1.2165,6852
1779848510.4734085,34,332,1.2850,6283
1779848511.0102022,36,324,1.2013,6852
1779848511.5494869,34,328,1.1953,6283
1779848512.082158,36,328,1.2430,6852
1779848512.6183043,34,327,1.2124,6283
1779848513.1490905,36,326,1.2069,6852
1779848513.685207,34,330,1.2485,6283
1779848514.2199552,36,331,1.2654,6852
1779848514.7489731,34,325,1.2049,6283
1779848515.290864,36,326,1.1894,6852
1779848515.8238373,34,329,1.2405,6283
1779848516.361438,36,327,1.2110,6852
1779848516.894983,34,349,1.2259,6283
1779848517.4227674,36,352,1.2482,6852
1779848517.9632027,34,325,1.2097,6283
1779848518.5047708,36,329,1.2307,6852
1779848519.046474,34,328,1.2356,6283
1779848519.5818272,36,329,1.2202,6852
1779848520.119044,34,327,1.2136,6283
1779848520.6543415,36,328,1.2357,6852
1779848521.1860697,34,326,1.2069,6283
1779848521.7260165,36,324,1.2090,6852
1779848522.2649894,34,330,1.2472,6283
1779848522.804938,36,327,1.2208,6852
1779848523.3473048,34,327,1.2107,6283
1779848523.8832936,36,328,1.2222,6852
1779848524.4267414,34,329,1.2542,6283
1779848524.9579928,36,341,1.3484,6852
1779848525.4949434,34,335,1.2252,6283
1779848526.0395832,36,331,1.2506,6852
1779848526.5868514,34,327,1.2195,6283
1779848527.1096373,36,330,1.2299,6852
1779848527.643521,34,331,1.2423,6283
1779848528.188258,36,331,1.2532,6852
1779848528.7290566,34,324,1.2023,6283
1779848529.2719288,36,330,1.2463,6852
1779848529.8153484,34,330,1.2310,6283
1779848530.3576705,36,391,1.3131,6852
1779848530.896117,34,495,1.3406,6283
1779848531.4358776,36,331,1.2110,6852
1779848531.9808328,34,328,1.2106,6283
1779848532.525074,36,331,1.2492,6852
1779848533.0630236,34,329,1.2249,6283
1779848533.5958495,36,325,1.2067,6852
1779848534.122874,34,328,1.2449,6283
1779848534.6573598,36,325,1.2107,6852
1779848535.1810613,34,328,1.2209,6283
1779848535.7070298,36,327,1.2224,6852
1779848536.2319365,34,330,1.2452,6283
1779848536.7768176,36,325,1.2137,6852
1779848537.3062315,34,328,1.2149,6283
1779848537.8463795,36,329,1.2790,6852
1779848538.375915,34,327,1.2113,6283
1779848538.9253824,36,354,1.3066,6852
1779848539.4555225,36,338,1.2095,6852
1779848539.9854047,34,325,1.2037,6283
1779848540.5191793,36,332,1.2548,6852
1779848541.041584,34,327,1.2001,6283
1779848541.582717,36,337,1.2284,6852
1779848542.1233761,34,367,1.2413,6283
1779848542.6592293,36,325,1.2045,6852
1779848543.1934507,34,326,1.2159,6283
1779848543.733957,36,327,1.2388,6852
1779848544.269897,34,327,1.2159,6283
1779848544.804423,36,325,1.2028,6852
1779848545.3184266,34,330,1.2486,6283
1779848545.8594077,36,324,1.2090,6852
1779848546.3969128,34,332,1.2283,6283
1779848546.938413,36,329,1.2447,6852
1779848547.4828708,34,326,1.2164,6283
1779848548.02713,36,328,1.2198,6852
1779848548.566528,34,325,1.2060,6283
1779848549.105835,36,331,1.2776,6852
1779848549.6498399,34,329,1.2423,6283
1779848550.1942756,36,341,1.2274,6852
1779848550.7319412,34,328,1.2439,6283
1779848551.2716064,36,326,1.2179,6852
1779848551.8150938,34,325,1.2112,6283
1779848552.359041,36,329,1.2260,6852
1779848552.8989527,34,327,1.2495,6283
1779848553.437574,36,327,1.2195,6852
1779848553.976633,34,331,1.2689,6283
1779848554.5031075,36,329,1.2329,6852
1779848555.0335715,34,368,1.2789,6283
1779848555.5758464,36,515,1.5281,6852
1779848556.1195223,34,335,1.2359,6283
1779848556.6638982,36,325,1.2021,6852
1779848557.2010343,34,332,1.2398,6283
1779848557.7371008,36,326,1.1990,6852
1779848558.2804675,34,328,1.2210,6283
1779848558.8200808,36,329,1.2256,6852
1779848559.3542979,34,330,1.2466,6283
1779848559.8908165,36,325,1.2092,6852
1779848560.4266713,34,326,1.2117,6283
1779848560.9623995,36,327,1.2401,6852
1779848561.5043027,34,327,1.2173,6283
1779848562.041574,36,326,1.2128,6852
1779848562.577689,34,331,1.2857,6283
1779848563.1202939,36,329,1.2307,6852
1779848563.6614532,35,331,1.2381,6852
1779848564.1982017,35,330,1.2418,6283
1779848564.730657,35,326,1.1942,6852
1779848565.2549708,35,328,1.2136,6283
1779848565.7930305,35,327,1.2345,6852
1779848566.3264568,35,329,1.2562,6283
1779848566.8643777,36,328,1.1593,6852
1779848567.4056787,34,334,1.2695,6283
1779848567.9403627,36,325,1.2097,6852
1779848568.4407935,36,392,1.2637,6852
1779848568.9671426,36,331,1.2054,6852
1779848569.5009418,34,329,1.2268,6283
1779848570.033446,36,327,1.2311,6852
1779848570.5709486,34,335,1.2351,6283
1779848571.1070848,36,327,1.2195,6852
1779848571.6462283,34,325,1.2107,6283
1779848572.1847143,36,331,1.2442,6852
1779848572.7092223,34,328,1.2222,6283
1779848573.2301064,36,329,1.2180,6852
1779848573.7584214,34,333,1.2934,6283
1779848574.2953167,36,332,1.2491,6852
1779848574.835771,34,337,1.2932,6283
1779848575.3754172,36,330,1.2535,6852
1779848575.914527,34,325,1.2107,6283
1779848576.454202,36,328,1.2076,6852
1779848576.9949741,34,326,1.2406,6283
1779848577.5257683,36,331,1.2533,6852
1779848578.0677164,34,330,1.2242,6283
1779848578.6029458,36,328,1.2396,6852
1779848579.1370065,34,328,1.2201,6283
1779848579.6679175,36,339,1.2516,6852
1779848580.1972332,34,544,1.5259,6283
1779848580.742835,36,329,1.2057,6852
1779848581.2874007,35,330,1.2265,6852
1779848581.83094,35,328,1.2364,6283
1779848582.3707097,36,334,1.2008,6852
