ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779937747.4250586,35,336,1.1925,125494750314496
1779937747.9693003,37,343,1.1761,125494754275328
1779937748.5128374,36,342,1.2471,125494754275328
1779937749.0592322,36,326,1.1538,125494750314496
1779937749.6053097,36,334,1.2291,125494754275328
1779937750.149737,36,333,1.2068,125494750314496
1779937750.6504717,36,330,1.2125,125494754275328
1779937751.1692355,36,327,1.1704,125494750314496
1779937751.7145321,37,338,1.1973,125494754275328
1779937752.216451,35,329,1.2062,125494750314496
1779937752.7443705,37,328,1.1787,125494754275328
1779937753.2936182,35,332,1.2297,125494750314496
1779937753.7957022,37,330,1.1770,125494754275328
1779937754.3448234,35,334,1.2200,125494750314496
1779937754.8932476,37,334,1.1965,125494754275328
1779937755.4396572,35,330,1.2026,125494750314496
1779937755.984167,37,337,1.1794,125494754275328
1779937756.5292737,35,334,1.2342,125494750314496
1779937757.0319667,37,336,1.2135,125494754275328
1779937757.5574265,35,326,1.1975,125494750314496
1779937758.0971007,37,339,1.2288,125494754275328
1779937758.639157,36,331,1.2052,125494754275328
1779937759.1821373,36,353,1.1457,125494750314496
1779937759.7235954,36,353,1.2526,125494754275328
1779937760.2249272,36,331,1.1549,125494750314496
1779937760.7715936,37,331,1.1819,125494754275328
1779937761.3184686,35,333,1.2686,125494750314496
1779937761.8645208,37,332,1.1842,125494754275328
1779937762.4105282,35,334,1.2066,125494750314496
1779937762.9560804,37,336,1.2212,125494754275328
1779937763.5020702,35,330,1.2079,125494750314496
1779937764.0477977,37,327,1.1646,125494754275328
1779937764.5954385,35,331,1.2258,125494750314496
1779937765.1411548,37,334,1.1848,125494754275328
1779937765.687679,36,332,1.2173,125494754275328
1779937766.2361465,36,329,1.1837,125494750314496
1779937766.781528,36,344,1.3081,125494754275328
1779937767.3304374,36,339,1.2366,125494750314496
1779937767.8756695,37,334,1.1840,125494754275328
1779937768.4213154,35,329,1.2012,125494750314496
1779937768.9661813,37,332,1.1808,125494754275328
1779937769.51306,35,336,1.2680,125494750314496
1779937770.0592241,37,332,1.1800,125494754275328
1779937770.6067955,35,325,1.1825,125494750314496
1779937771.1520572,37,338,1.2015,125494754275328
1779937771.6985745,36,338,1.2517,125494754275328
1779937772.2176561,36,508,1.2187,125494750314496
1779937772.7633667,36,381,1.3743,125494754275328
1779937773.2757337,36,327,1.1647,125494750314496
1779937773.821124,36,332,1.2042,125494754275328
1779937774.3667681,36,335,1.2313,125494750314496
1779937774.9130747,37,329,1.1645,125494754275328
1779937775.4580984,35,330,1.2084,125494750314496
1779937776.0034795,37,335,1.2173,125494754275328
1779937776.5491831,35,326,1.1937,125494750314496
1779937777.0946813,37,332,1.1932,125494754275328
1779937777.6390092,35,327,1.2111,125494750314496
1779937778.1840265,37,334,1.1892,125494754275328
1779937778.7291589,36,330,1.2104,125494754275328
1779937779.275341,36,338,1.1898,125494750314496
1779937779.8198519,36,332,1.1960,125494754275328
1779937780.3651464,36,332,1.1869,125494750314496
1779937780.9093192,37,332,1.1866,125494754275328
1779937781.4544532,35,325,1.1959,125494750314496
1779937781.9990323,37,338,1.2138,125494754275328
1779937782.5107684,35,330,1.2333,125494750314496
1779937783.053697,37,333,1.1776,125494754275328
1779937783.6003883,35,328,1.2108,125494750314496
1779937784.147919,37,334,1.1901,125494754275328
1779937784.695063,35,333,1.2247,125494750314496
1779937785.2416573,37,377,1.1988,125494754275328
1779937785.7910876,36,324,1.1787,125494754275328
1779937786.340408,36,328,1.1663,125494750314496
1779937786.88673,36,334,1.2702,125494754275328
1779937787.4332347,36,332,1.1954,125494750314496
1779937787.9808898,37,332,1.1894,125494754275328
1779937788.530276,35,329,1.2256,125494750314496
1779937789.077767,37,337,1.2003,125494754275328
1779937789.625202,35,321,1.1830,125494750314496
1779937790.1733854,37,336,1.2224,125494754275328
1779937790.7189333,35,325,1.1977,125494750314496
1779937791.2648144,37,334,1.1883,125494754275328
1779937791.7666132,35,331,1.2307,125494750314496
1779937792.3133032,37,331,1.1833,125494754275328
1779937792.861589,36,343,1.3142,125494754275328
1779937793.3622656,36,333,1.2114,125494750314496
1779937793.9080179,36,329,1.1957,125494754275328
1779937794.4537928,36,326,1.1549,125494750314496
1779937794.999857,37,337,1.2191,125494754275328
1779937795.545478,35,330,1.2401,125494750314496
1779937796.0919712,37,339,1.1859,125494754275328
1779937796.6377168,35,330,1.2247,125494750314496
1779937797.182466,37,334,1.1812,125494754275328
