ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_id_changed
1779848093.5796318,34,0,0.0000,6250
1779848094.0897539,36,330,1.2094,6852
1779848094.6289668,34,325,1.2088,6250
1779848095.155346,36,328,1.2460,6852
1779848095.6734533,34,324,1.2032,6250
1779848096.2043436,36,326,1.2059,6852
1779848096.7222548,34,327,1.2224,6250
1779848097.241643,36,329,1.2361,6852
1779848097.7672522,34,328,1.2157,6250
1779848098.2930696,36,328,1.2190,6852
1779848098.8336377,34,334,1.2785,6250
1779848099.3589315,36,328,1.2029,6852
1779848099.8891826,34,328,1.2159,6250
1779848100.4253745,36,333,1.2361,6852
1779848100.9675953,34,328,1.2240,6250
1779848101.507106,36,328,1.2176,6852
1779848102.0497813,34,332,1.2328,6250
1779848102.5855155,36,327,1.2495,6852
1779848103.1270812,34,327,1.2171,6250
1779848103.6587374,36,330,1.2542,6852
1779848104.196023,34,321,1.2064,6250
1779848104.7259426,36,328,1.2139,6852
1779848105.2547154,34,373,1.2710,6250
1779848105.7996404,36,323,1.2073,6852
1779848106.3429391,34,326,1.2061,6250
1779848106.883085,36,326,1.2171,6852
1779848107.4236372,34,327,1.2202,6250
1779848107.9499254,36,350,1.2861,6852
1779848108.4878385,36,333,1.1942,6852
1779848109.0179865,34,327,1.2151,6250
1779848109.5578697,36,330,1.2453,6852
1779848110.0940158,34,327,1.2176,6250
1779848110.6370413,36,342,1.3483,6852
1779848111.1736305,34,333,1.2571,6250
1779848111.7148333,36,326,1.2125,6852
1779848112.256182,34,329,1.2126,6250
1779848112.7975707,36,330,1.2416,6852
1779848113.3278747,34,329,1.2195,6250
1779848113.8748107,36,325,1.2073,6852
1779848114.416436,34,327,1.2042,6250
1779848114.9527686,36,329,1.2408,6852
1779848115.489342,34,333,1.2433,6250
1779848116.0328538,36,490,1.4088,6852
1779848116.5762997,34,390,1.3875,6250
1779848117.1157117,36,326,1.2075,6852
1779848117.6466525,34,326,1.2049,6250
1779848118.187958,36,330,1.2531,6852
1779848118.7307937,34,326,1.2114,6250
1779848119.2695293,36,328,1.2210,6852
1779848119.8053315,35,332,1.2696,6852
1779848120.346965,35,327,1.2126,6250
1779848120.8889582,36,325,1.1684,6852
1779848121.4306653,34,332,1.2452,6250
1779848121.9642043,36,327,1.2087,6852
1779848122.5003994,34,333,1.2362,6250
1779848123.0361495,36,333,1.2821,6852
1779848123.5797632,34,323,1.2019,6250
1779848124.1075413,36,331,1.2266,6852
1779848124.6442952,34,327,1.2331,6250
1779848125.1814027,36,324,1.1875,6852
1779848125.7180011,34,326,1.2090,6250
1779848126.252938,36,330,1.2385,6852
1779848126.797658,34,329,1.2468,6250
1779848127.3372676,36,326,1.2179,6852
1779848127.879646,34,329,1.2530,6250
1779848128.421969,36,331,1.2295,6852
1779848128.9636183,34,330,1.2220,6250
1779848129.5079148,36,370,1.2261,6852
1779848130.0469437,34,327,1.2173,6250
1779848130.5846052,36,324,1.1997,6852
1779848131.1205544,34,329,1.2490,6250
1779848131.6610568,36,328,1.2307,6852
1779848132.2013326,36,332,1.1984,6852
1779848132.7429135,34,330,1.2450,6250
1779848133.2801445,36,329,1.2197,6852
1779848133.8120532,34,326,1.2128,6250
1779848134.356818,36,331,1.2477,6852
1779848134.9002528,34,327,1.1995,6250
1779848135.4424706,36,328,1.2213,6852
1779848135.9853435,34,325,1.2076,6250
1779848136.530035,36,332,1.2825,6852
1779848137.0679867,34,347,1.3519,6250
1779848137.614465,36,352,1.2805,6852
1779848138.159183,36,332,1.1952,6852
1779848138.7046587,34,332,1.2544,6250
1779848139.2403793,36,330,1.2217,6852
1779848139.7808871,34,337,1.2380,6250
1779848140.3217683,36,546,1.4829,6852
1779848140.8639047,34,327,1.2066,6250
1779848141.4037552,36,327,1.2086,6852
1779848141.9474266,34,323,1.2056,6250
1779848142.4919558,36,330,1.2493,6852
1779848143.0274553,34,329,1.2307,6250
1779848143.5640202,36,323,1.2073,6852
1779848144.1052532,34,329,1.2209,6250
1779848144.6407511,36,325,1.2065,6852
1779848145.1692243,34,326,1.2159,6250
1779848145.69761,36,328,1.2395,6852
1779848146.2239695,34,326,1.2183,6250
1779848146.7462695,36,326,1.2114,6852
1779848147.2704327,34,335,1.2933,6250
1779848147.7923028,36,325,1.1968,6852
1779848148.327662,34,329,1.2098,6250
1779848148.8643608,36,329,1.2372,6852
1779848149.4010472,34,329,1.2241,6250
1779848149.9285228,36,324,1.2022,6852
1779848150.4700034,34,332,1.2625,6250
1779848151.0096867,36,328,1.2496,6852
1779848151.549078,34,331,1.2128,6250
1779848152.0845313,36,332,1.2632,6852
1779848152.6275723,34,324,1.2096,6250
1779848153.171203,36,329,1.2236,6852
1779848153.710697,34,380,1.2409,6250
1779848154.2541685,36,327,1.2122,6852
1779848154.7925315,35,331,1.2237,6852
1779848155.3261688,35,330,1.2466,6250
