ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1779937759.0321367,35,342,1.2278,130224102801408
1779937759.573147,37,335,1.1686,130224105623552
1779937760.1145284,35,331,1.2009,130224102801408
1779937760.6582139,37,334,1.1832,130224105623552
1779937761.202143,35,327,1.2011,130224102801408
1779937761.7439728,37,336,1.1910,130224105623552
1779937762.2893074,35,338,1.2396,130224102801408
1779937762.8305414,37,332,1.1716,130224105623552
1779937763.342821,36,331,1.2315,130224105623552
1779937763.8557746,36,328,1.1920,130224102801408
1779937764.3983,36,328,1.2115,130224105623552
1779937764.9444494,36,330,1.1634,130224102801408
1779937765.4896154,36,332,1.2403,130224105623552
1779937766.032562,36,329,1.1612,130224102801408
1779937766.5758166,37,332,1.1814,130224105623552
1779937767.1182818,35,331,1.2321,130224102801408
1779937767.6591706,37,334,1.1978,130224105623552
1779937768.2018676,35,324,1.1668,130224102801408
1779937768.7432666,37,334,1.2188,130224105623552
1779937769.2866066,35,329,1.2082,130224102801408
1779937769.8304057,37,337,1.1834,130224105623552
1779937770.3752623,35,373,1.2624,130224102801408
1779937770.9146266,37,332,1.1700,130224105623552
1779937771.455928,36,336,1.2145,130224105623552
1779937771.9978232,36,335,1.2228,130224102801408
1779937772.5383606,36,337,1.2287,130224105623552
1779937773.082238,36,329,1.1685,130224102801408
1779937773.6241302,37,338,1.2231,130224105623552
1779937774.1663377,35,325,1.1945,130224102801408
1779937774.7080977,37,334,1.1868,130224105623552
1779937775.250177,35,329,1.2286,130224102801408
1779937775.7920365,37,332,1.1728,130224105623552
1779937776.333867,35,329,1.2069,130224102801408
1779937776.8734887,37,330,1.1946,130224105623552
1779937777.4136462,35,328,1.2041,130224102801408
1779937777.9528224,37,345,1.3026,130224105623552
1779937778.492205,36,334,1.2490,130224105623552
1779937779.0319626,36,343,1.2013,130224102801408
1779937779.572552,36,328,1.2181,130224105623552
1779937780.1135194,36,328,1.1892,130224102801408
1779937780.655052,37,335,1.2019,130224105623552
1779937781.198811,35,327,1.1925,130224102801408
1779937781.7423677,37,335,1.2041,130224105623552
1779937782.2886302,35,333,1.2150,130224102801408
1779937782.8306644,37,412,1.2238,130224105623552
1779937783.3731816,35,477,1.5862,130224102801408
1779937783.9162376,37,330,1.1787,130224105623552
1779937784.460513,35,327,1.1927,130224102801408
1779937785.0040665,37,341,1.2473,130224105623552
1779937785.5484433,36,328,1.2045,130224105623552
1779937786.0912619,36,328,1.1602,130224102801408
1779937786.6361864,36,330,1.2201,130224105623552
1779937787.1803482,36,329,1.1633,130224102801408
1779937787.7230728,37,333,1.1879,130224105623552
1779937788.266903,35,330,1.2288,130224102801408
1779937788.8098497,37,332,1.1861,130224105623552
1779937789.3509617,35,326,1.1925,130224102801408
1779937789.8913448,37,332,1.2152,130224105623552
1779937790.4339674,35,327,1.1982,130224102801408
1779937790.9754815,37,332,1.1821,130224105623552
1779937791.5176942,35,332,1.2295,130224102801408
1779937792.0584807,37,337,1.1854,130224105623552
1779937792.6010778,36,329,1.2111,130224105623552
1779937793.1420448,36,333,1.2246,130224102801408
1779937793.6821914,36,329,1.2055,130224105623552
1779937794.2214015,36,329,1.1737,130224102801408
1779937794.7603369,37,338,1.2187,130224105623552
1779937795.3000731,35,329,1.2110,130224102801408
1779937795.8398275,37,366,1.2027,130224105623552
1779937796.3771892,35,347,1.2543,130224102801408
1779937796.9162428,37,325,1.1628,130224105623552
1779937797.455902,35,328,1.2011,130224102801408
1779937798.0017118,37,338,1.2339,130224105623552
