scenario,rep_id,direct_anchor,reactive_cascade,induced_cascade,periodic_gap,endogenous_unexplained,indeterminate,duration_s,induced_cascade_count,per_hour_rate,threshold_used,n_test_iters,n_ext
D_attack_flush,D_attack_flush_rep1_1779775605,55,23,155,64,88,0,446.97,155,1248.4,48103.0,1548,385
D_attack_flush,D_attack_flush_rep1_1779904598,121,49,144,81,115,0,494.56,144,1048.2,48299.0,1644,510
D_attack_flush,D_attack_flush_rep1_1779905617,58,5,138,5,5,0,482.71,138,1029.2,45111.0,1686,211
D_attack_flush,D_attack_flush_rep1_1779906668,99,25,142,94,145,0,481.38,142,1062.0,48272.0,1668,505
D_attack_flush,D_attack_flush_rep1_1779907752,115,51,150,90,103,0,493.79,150,1093.6,48062.0,1716,509
D_attack_flush,D_attack_flush_rep1_1779908779,92,36,152,73,117,0,494.85,152,1105.8,48316.0,1601,470
D_attack_flush,D_attack_flush_rep1_1779909806,87,25,150,42,69,0,490.76,150,1100.3,48323.0,1688,373
D_attack_flush,D_attack_flush_rep1_1779910808,85,42,165,93,107,0,480.61,165,1235.9,48079.0,1591,492
D_attack_flush,D_attack_flush_rep2_1779776606,92,37,129,70,79,0,450.23,129,1031.5,48312.0,1493,407
D_attack_flush,D_attack_flush_rep3_1779777599,98,45,138,85,102,0,446.53,138,1112.6,48304.0,1492,468
E_attack_single_rule,E_attack_single_rule_rep1_1779779845,74,30,132,81,108,0,446.37,132,1064.6,48296.0,1526,425
E_attack_single_rule,E_attack_single_rule_rep1_1779911828,69,22,159,104,145,0,495.39,159,1155.5,48312.0,1727,499
E_attack_single_rule,E_attack_single_rule_rep1_1779912878,98,42,149,81,137,0,480.99,149,1115.2,48074.0,1651,507
E_attack_single_rule,E_attack_single_rule_rep1_1779913899,39,1,121,7,10,0,492.25,121,884.9,48274.0,1724,178
E_attack_single_rule,E_attack_single_rule_rep1_1779914908,111,49,143,71,139,0,494.49,143,1041.1,48321.0,1736,513
E_attack_single_rule,E_attack_single_rule_rep1_1779915921,113,46,141,78,121,0,494.65,141,1026.2,48302.0,1713,499
E_attack_single_rule,E_attack_single_rule_rep1_1779916997,103,48,155,84,126,0,488.65,155,1141.9,48293.0,1669,516
E_attack_single_rule,E_attack_single_rule_rep1_1779917987,117,57,147,66,114,0,485.83,147,1089.3,48135.0,1725,501
E_attack_single_rule,E_attack_single_rule_rep2_1779780861,42,10,111,14,28,0,441.91,111,904.3,48297.0,1540,205
E_attack_single_rule,E_attack_single_rule_rep3_1779781893,84,37,150,89,125,0,451.34,150,1196.4,48301.0,1449,485
F_attack_burst,F_attack_burst_rep1_1779782895,108,46,136,57,71,0,444.34,136,1101.9,48314.0,1558,418
F_attack_burst,F_attack_burst_rep1_1779919045,96,45,154,88,84,0,491.96,154,1126.9,48146.0,1737,467
F_attack_burst,F_attack_burst_rep1_1779920089,87,42,160,80,128,0,490.94,160,1173.3,47810.0,1710,497
F_attack_burst,F_attack_burst_rep1_1779921141,56,16,154,37,51,0,494.35,154,1121.5,48282.0,1664,314
F_attack_burst,F_attack_burst_rep1_1779922178,105,47,147,89,124,0,493.18,147,1073.0,48297.0,1690,512
F_attack_burst,F_attack_burst_rep1_1779923207,84,51,41,80,125,0,495.29,41,298.0,48290.0,1672,381
F_attack_burst,F_attack_burst_rep1_1779924218,83,39,58,90,121,0,491.84,58,424.5,48123.0,1687,391
F_attack_burst,F_attack_burst_rep1_1779925262,100,40,149,58,125,0,485.72,149,1104.3,48108.0,1620,472
F_attack_burst,F_attack_burst_rep2_1779783887,73,33,143,97,123,0,446.89,143,1152.0,48232.0,1582,469
F_attack_burst,F_attack_burst_rep3_1779784878,98,39,136,83,114,0,446.55,136,1096.4,48047.0,1519,470
