scenario,rep_id,direct_anchor,reactive_cascade,induced_cascade,periodic_gap,endogenous_unexplained,indeterminate,duration_s,induced_cascade_count,per_hour_rate,threshold_used,n_test_iters,n_ext
E_single_rule,E_single_rule_rep10_1784140959,139,94,316,143,184,0,835.93,316,1360.9,48120.0,4164,876
E_single_rule,E_single_rule_rep1_1784128583,93,69,313,162,235,0,842.75,313,1337.1,48293.0,4199,872
E_single_rule,E_single_rule_rep2_1784129948,119,79,309,149,197,0,836.41,309,1330.0,48031.6,4169,853
E_single_rule,E_single_rule_rep3_1784131339,145,102,330,124,229,0,839.99,330,1414.3,48023.0,4188,930
E_single_rule,E_single_rule_rep4_1784132700,84,60,311,162,251,0,841.6,311,1330.3,48246.0,4194,868
E_single_rule,E_single_rule_rep5_1784134084,117,80,310,142,202,0,838.27,310,1331.3,48046.0,4179,851
E_single_rule,E_single_rule_rep6_1784135478,99,71,326,147,255,0,845.99,326,1387.3,48254.0,4215,898
E_single_rule,E_single_rule_rep7_1784136866,132,87,322,105,210,0,842.59,322,1375.8,48344.0,4202,856
E_single_rule,E_single_rule_rep8_1784138257,100,66,319,161,247,0,847.37,319,1355.3,48254.0,4224,893
E_single_rule,E_single_rule_rep9_1784139588,86,63,288,98,110,0,838.59,288,1236.4,48062.0,4183,645
F_burst,F_burst_rep10_1784154758,116,71,334,174,222,0,841.16,334,1429.5,48275.0,4192,917
F_burst,F_burst_rep1_1784142339,122,86,319,134,226,0,835.35,319,1374.8,48045.0,4161,887
F_burst,F_burst_rep2_1784143717,123,82,326,137,248,0,836.38,326,1403.2,48283.0,4170,916
F_burst,F_burst_rep3_1784145097,121,81,317,158,199,0,838.4,317,1361.2,48224.0,4178,876
F_burst,F_burst_rep4_1784146495,79,64,321,134,229,0,848.06,321,1362.6,48027.0,4228,827
F_burst,F_burst_rep5_1784147877,96,74,313,156,255,0,845.28,313,1333.1,48283.0,4213,894
F_burst,F_burst_rep6_1784149273,87,45,7,81,125,0,848.27,7,29.7,48047.0,4228,345
F_burst,F_burst_rep7_1784150643,118,73,311,112,224,0,847.13,311,1321.6,48305.0,4225,838
F_burst,F_burst_rep8_1784152031,101,72,328,161,253,0,843.25,328,1400.3,48038.0,4201,915
F_burst,F_burst_rep9_1784153396,103,69,310,164,221,0,841.37,310,1326.4,48037.0,4194,867
D_flush,D_flush_rep10_1784127218,141,94,339,124,197,0,839.39,339,1453.9,48077.5,4186,895
D_flush,D_flush_rep1_1784114542,75,45,310,146,200,0,838.65,310,1330.7,48028.0,4178,776
D_flush,D_flush_rep2_1784116155,88,65,332,112,189,0,836.14,332,1429.4,48293.5,4169,786
D_flush,D_flush_rep3_1784117531,115,75,303,122,240,0,833.3,303,1309.0,48275.0,4153,855
D_flush,D_flush_rep4_1784118914,121,86,303,138,165,0,844.37,303,1291.9,47967.0,4210,813
D_flush,D_flush_rep5_1784120305,128,82,311,151,206,0,846.31,311,1322.9,48061.0,4218,878
D_flush,D_flush_rep6_1784121684,96,77,307,149,242,0,840.3,307,1315.2,48023.0,4191,871
D_flush,D_flush_rep7_1784123080,115,69,315,137,264,0,847.25,315,1338.4,46762.45,4220,900
D_flush,D_flush_rep8_1784124445,153,95,318,148,174,0,837.87,318,1366.3,48035.0,4174,888
D_flush,D_flush_rep9_1784125839,120,64,302,145,207,0,839.07,302,1295.7,48029.0,4183,838
