t_rel_s,signal,threshold
-29.288721323013306,48088.0,48078.0
-28.239290237426758,48096.0,48078.0
-28.213881254196167,48096.0,48078.0
-27.20528483390808,28.0,48078.0
-27.196407794952393,28.0,48078.0
-27.19142198562622,28.0,48078.0
-27.18602681159973,28.0,48078.0
-27.163761377334595,48089.0,48078.0
-26.153281927108765,23.0,48078.0
-26.14306378364563,23.0,48078.0
-26.1381938457489,23.0,48078.0
-26.13338828086853,23.0,48078.0
-26.11241102218628,48096.0,48078.0
-25.102762937545776,29.0,48078.0
-25.09344244003296,29.0,48078.0
-25.08883571624756,29.0,48078.0
-25.084198236465454,29.0,48078.0
-25.06377100944519,48091.0,48078.0
-24.054301261901855,25.0,48078.0
-24.04476046562195,25.0,48078.0
-24.039799690246582,25.0,48078.0
-24.034963369369507,25.0,48078.0
-24.008981466293335,48091.0,48078.0
-22.95991539955139,48084.0,48078.0
-21.910097122192383,48083.0,48078.0
-20.86668872833252,48090.0,48078.0
-19.81614637374878,48076.0,48078.0
-19.790620803833008,48076.0,48078.0
-18.781963109970093,13.0,48078.0
-18.77295684814453,13.0,48078.0
-18.7680184841156,13.0,48078.0
-18.76346492767334,13.0,48078.0
-18.740834951400757,48070.0,48078.0
-17.730050563812256,13.0,48078.0
-17.7219500541687,13.0,48078.0
-17.71700668334961,13.0,48078.0
-17.712050199508667,13.0,48078.0
-17.690213918685913,48077.0,48078.0
-16.68036723136902,12.0,48078.0
-16.67092990875244,12.0,48078.0
-16.666543006896973,12.0,48078.0
-16.662062168121338,12.0,48078.0
-16.641226768493652,48077.0,48078.0
-15.629706382751465,643.0,48078.0
-15.619994640350342,643.0,48078.0
-15.615196466445923,643.0,48078.0
-15.610674619674683,643.0,48078.0
-15.589694499969482,48087.0,48078.0
-15.56600308418274,48087.0,48078.0
-14.557902812957764,35.0,48078.0
-14.54923129081726,35.0,48078.0
-14.544790744781494,35.0,48078.0
-14.540425777435303,35.0,48078.0
-14.518447160720825,48081.0,48078.0
-13.508203506469727,31.0,48078.0
-13.499287366867065,31.0,48078.0
-13.494678974151611,31.0,48078.0
-13.490374088287354,31.0,48078.0
-13.470322370529175,48088.0,48078.0
-12.46143102645874,66.0,48078.0
-12.453854084014893,66.0,48078.0
-12.449800968170166,66.0,48078.0
-12.445801973342896,66.0,48078.0
-12.427052736282349,48084.0,48078.0
-11.417065382003784,66.0,48078.0
-11.407269954681396,66.0,48078.0
-11.402411699295044,66.0,48078.0
-11.39771318435669,66.0,48078.0
-11.376965284347534,48079.0,48078.0
-11.351710081100464,48079.0,48078.0
-10.308096647262573,48083.0,48078.0
-9.258315086364746,48076.0,48078.0
-8.20837664604187,48076.0,48078.0
-7.1592607498168945,48083.0,48078.0
-7.13382887840271,48076.0,48078.0
-6.1247639656066895,21.0,48078.0
-6.116021633148193,21.0,48078.0
-6.111909627914429,21.0,48078.0
-6.107798099517822,21.0,48078.0
-6.087718963623047,48083.0,48078.0
-5.078950881958008,20.0,48078.0
-5.071151494979858,20.0,48078.0
-5.066888093948364,20.0,48078.0
-5.063007593154907,20.0,48078.0
-5.042503595352173,48090.0,48078.0
-4.033344268798828,29.0,48078.0
-4.025705814361572,29.0,48078.0
-4.021372079849243,29.0,48078.0
-4.017003536224365,29.0,48078.0
-3.996114730834961,48090.0,48078.0
-2.986602783203125,25.0,48078.0
-2.9781975746154785,25.0,48078.0
-2.973767042160034,25.0,48078.0
-2.969351053237915,25.0,48078.0
-2.9458813667297363,48083.0,48078.0
-2.917226791381836,48083.0,48078.0
-1.8700246810913086,48098.0,48078.0
-0.8276400566101074,48091.0,48078.0
0.22173380851745605,48097.0,48078.0
1.2682271003723145,48096.0,48078.0
1.2940256595611572,48096.0,48078.0
2.302152633666992,17.0,48078.0
2.3102245330810547,17.0,48078.0
2.314702033996582,17.0,48078.0
2.319148540496826,17.0,48078.0
2.3404648303985596,48096.0,48078.0
3.349424123764038,26.0,48078.0
3.3567075729370117,26.0,48078.0
3.360809803009033,26.0,48078.0
3.3645191192626953,26.0,48078.0
3.383019208908081,48105.0,48078.0
4.392414808273315,651.0,48078.0
4.401132345199585,651.0,48078.0
4.405787944793701,651.0,48078.0
4.410300016403198,651.0,48078.0
4.430267095565796,48103.0,48078.0
5.4394025802612305,31.0,48078.0
5.4480140209198,31.0,48078.0
5.4526262283325195,31.0,48078.0
5.457110166549683,31.0,48078.0
5.4773712158203125,48104.0,48078.0
5.50417947769165,48098.0,48078.0
6.5126953125,19.0,48078.0
6.52109694480896,19.0,48078.0
6.525932312011719,19.0,48078.0
6.530151605606079,19.0,48078.0
6.550818920135498,48098.0,48078.0
7.560960531234741,16.0,48078.0
7.571292161941528,16.0,48078.0
7.576164722442627,16.0,48078.0
7.5807905197143555,16.0,48078.0
7.6020848751068115,48106.0,48078.0
8.61227011680603,37.0,48078.0
8.62113070487976,37.0,48078.0
8.62557339668274,37.0,48078.0
8.630037307739258,37.0,48078.0
8.649797201156616,48104.0,48078.0
9.659474611282349,32.0,48078.0
9.668441534042358,32.0,48078.0
9.672839403152466,32.0,48078.0
9.677542448043823,32.0,48078.0
9.699060440063477,48107.0,48078.0
9.724457025527954,48107.0,48078.0
10.773565292358398,48101.0,48078.0
11.82450246810913,48113.0,48078.0
12.873673915863037,48105.0,48078.0
13.924757480621338,48103.0,48078.0
13.950387477874756,48102.0,48078.0
14.958425283432007,37.0,48078.0
14.966531038284302,37.0,48078.0
14.970579385757446,37.0,48078.0
14.974591970443726,37.0,48078.0
14.993830442428589,48106.0,48078.0
16.003555297851562,60.0,48078.0
16.013959169387817,60.0,48078.0
16.019405841827393,60.0,48078.0
16.02420687675476,60.0,48078.0
16.045228004455566,48099.0,48078.0
17.055420875549316,47.0,48078.0
17.064915418624878,47.0,48078.0
17.06964421272278,47.0,48078.0
17.07483673095703,47.0,48078.0
17.09614658355713,48096.0,48078.0
18.105547428131104,32.0,48078.0
18.113290071487427,32.0,48078.0
18.117457389831543,32.0,48078.0
18.121260404586792,32.0,48078.0
18.14108443260193,48105.0,48078.0
18.164891242980957,48105.0,48078.0
19.173059940338135,658.0,48078.0
19.18182396888733,658.0,48078.0
19.186654806137085,658.0,48078.0
19.191314220428467,658.0,48078.0
19.21327781677246,48114.0,48078.0
20.223021745681763,27.0,48078.0
20.231956720352173,27.0,48078.0
20.2361900806427,27.0,48078.0
20.240495681762695,27.0,48078.0
20.259753704071045,48103.0,48078.0
21.26865243911743,25.0,48078.0
21.27721118927002,25.0,48078.0
21.281360864639282,25.0,48078.0
21.28578019142151,25.0,48078.0
21.30493712425232,48103.0,48078.0
22.31393527984619,25.0,48078.0
22.32151222229004,25.0,48078.0
22.325790405273438,25.0,48078.0
22.329811096191406,25.0,48078.0
22.349114418029785,48104.0,48078.0
22.372156620025635,48098.0,48078.0
23.38009262084961,85.0,48078.0
23.3891122341156,85.0,48078.0
23.393669605255127,85.0,48078.0
23.398033618927002,85.0,48078.0
23.419875383377075,48098.0,48078.0
24.430218935012817,25.0,48078.0
24.440229177474976,25.0,48078.0
24.445067882537842,25.0,48078.0
24.44970941543579,25.0,48078.0
24.470818519592285,48099.0,48078.0
25.480591535568237,22.0,48078.0
25.48915457725525,22.0,48078.0
25.49309539794922,22.0,48078.0
25.497291088104248,22.0,48078.0
25.517467737197876,48092.0,48078.0
26.5276517868042,23.0,48078.0
26.537007808685303,23.0,48078.0
26.541281700134277,23.0,48078.0
26.54579257965088,23.0,48078.0
26.565935373306274,48099.0,48078.0
26.59027624130249,48099.0,48078.0
27.59779167175293,11.0,48078.0
27.605111360549927,11.0,48078.0
27.609050989151,11.0,48078.0
27.612816095352173,11.0,48078.0
27.632870197296143,48093.0,48078.0
28.683685064315796,48093.0,48078.0
29.732983827590942,48099.0,48078.0
30.782132863998413,48093.0,48078.0
30.808062314987183,48093.0,48078.0
31.85922074317932,48093.0,48078.0
32.91017031669617,48094.0,48078.0
33.95448303222656,48097.0,48078.0
35.0012788772583,48109.0,48078.0
35.026108503341675,48109.0,48078.0
36.03433561325073,22.0,48078.0
36.04381537437439,22.0,48078.0
36.047892570495605,22.0,48078.0
36.05203104019165,22.0,48078.0
36.07288932800293,48108.0,48078.0
37.08219575881958,19.0,48078.0
37.091707706451416,19.0,48078.0
37.09567189216614,19.0,48078.0
37.09974193572998,19.0,48078.0
37.118889808654785,48102.0,48078.0
38.12838816642761,18.0,48078.0
38.13818621635437,18.0,48078.0
38.14313459396362,18.0,48078.0
38.147746086120605,18.0,48078.0
38.16899657249451,48109.0,48078.0
39.178650856018066,22.0,48078.0
39.18622589111328,22.0,48078.0
39.1905632019043,22.0,48078.0
39.19487762451172,22.0,48078.0
39.2141900062561,48109.0,48078.0
39.23849964141846,48105.0,48078.0
40.2464120388031,14.0,48078.0
40.254494428634644,14.0,48078.0
40.25843644142151,14.0,48078.0
40.262511253356934,14.0,48078.0
40.28298473358154,48105.0,48078.0
41.29241061210632,13.0,48078.0
41.30046010017395,13.0,48078.0
41.30432462692261,13.0,48078.0
41.30810284614563,13.0,48078.0
41.326648235321045,48106.0,48078.0
42.335875272750854,14.0,48078.0
42.344910860061646,14.0,48078.0
42.349515438079834,14.0,48078.0
42.35386610031128,14.0,48078.0
42.37306022644043,48106.0,48078.0
43.38287138938904,21.0,48078.0
43.39146685600281,21.0,48078.0
43.39562249183655,21.0,48078.0
43.39989972114563,21.0,48078.0
43.42009520530701,48106.0,48078.0
44.429874420166016,659.0,48078.0
44.43962860107422,25.0,48078.0
44.44455862045288,25.0,48078.0
44.449522733688354,25.0,48078.0
44.45439434051514,25.0,48078.0
44.474618911743164,48095.0,48078.0
45.486252546310425,23.0,48078.0
