scenario,rep,spacing_s,excess_before,excess_after,delta_excess,occupancy_before,occupancy_after,delta_occupancy,pages_before,pages_after,delta_pages,n_iters_before,n_iters_after
G_overlap_30s,G_overlap_30s_rep10_1784168983,28.27,2696.0,2614.0,-82.0,0.3857,0.3377,-0.0481,15.0143,13.7143,-1.3,70,77
G_overlap_30s,G_overlap_30s_rep1_1784156173,28.28,1557.0,1784.0,227.0,0.2935,0.3182,0.0247,12.4674,13.0909,0.6235,92,88
G_overlap_30s,G_overlap_30s_rep2_1784157603,28.29,3225.0,3004.0,-221.0,0.3544,0.4,0.0456,14.0253,15.2462,1.2208,79,65
G_overlap_30s,G_overlap_30s_rep3_1784159039,28.27,3931.15,3553.25,-377.9,0.3649,0.2941,-0.0707,14.6351,12.7176,-1.9175,74,85
G_overlap_30s,G_overlap_30s_rep4_1784160460,28.27,926.0,989.0,63.0,0.2796,0.3059,0.0263,11.8925,12.9647,1.0722,93,85
G_overlap_30s,G_overlap_30s_rep5_1784161864,28.3,1791.0,1860.0,69.0,0.3068,0.3293,0.0225,12.9659,13.8415,0.8756,88,82
G_overlap_30s,G_overlap_30s_rep6_1784163275,28.28,2603.0,2876.0,273.0,0.25,0.3611,0.1111,10.9688,14.0556,3.0868,96,72
G_overlap_30s,G_overlap_30s_rep7_1784164708,28.27,3375.0,3081.0,-294.0,0.3256,0.321,-0.0046,13.5581,13.5062,-0.052,86,81
G_overlap_30s,G_overlap_30s_rep8_1784166124,28.29,1540.0,2071.0,531.0,0.3571,0.2826,-0.0745,14.1286,11.9239,-2.2047,70,92
G_overlap_30s,G_overlap_30s_rep9_1784167550,28.28,1286.0,1381.0,95.0,0.2796,0.2647,-0.0149,11.8172,11.598,-0.2192,93,102
H_overlap_150s,H_overlap_150s_rep10_1784184294,140.84,3785.0,4049.0,264.0,0.2987,0.3676,0.0689,12.3636,14.3382,1.9746,77,68
H_overlap_150s,H_overlap_150s_rep1_1784170501,138.36,2174.0,2125.0,-49.0,0.2772,0.321,0.0438,11.5644,13.0988,1.5344,101,81
H_overlap_150s,H_overlap_150s_rep2_1784172032,140.84,4264.0,4338.0,74.0,0.2647,0.3333,0.0686,11.4706,13.7619,2.2913,102,84
H_overlap_150s,H_overlap_150s_rep3_1784173559,138.36,1624.0,1888.0,264.0,0.2574,0.3857,0.1283,11.5149,15.0714,3.5566,101,70
H_overlap_150s,H_overlap_150s_rep4_1784175093,138.37,3805.0,3478.0,-327.0,0.358,0.3333,-0.0247,14.2716,13.8056,-0.466,81,72
H_overlap_150s,H_overlap_150s_rep5_1784176641,138.36,3892.0,3851.0,-41.0,0.325,0.3289,0.0039,13.1,13.1579,0.0579,80,76
H_overlap_150s,H_overlap_150s_rep6_1784178136,140.83,3456.0,3806.0,350.0,0.3034,0.3506,0.0473,12.4494,13.9091,1.4597,89,77
H_overlap_150s,H_overlap_150s_rep7_1784179677,138.36,3706.0,3999.0,293.0,0.2927,0.2941,0.0014,11.9146,12.0118,0.0971,82,85
H_overlap_150s,H_overlap_150s_rep8_1784181216,138.31,1678.0,1734.0,56.0,0.2604,0.2796,0.0192,11.8333,12.5484,0.7151,96,93
H_overlap_150s,H_overlap_150s_rep9_1784182778,140.82,2126.5,2237.0,110.5,0.2941,0.3377,0.0435,12.3176,13.8442,1.5265,85,77
