scenario,rep_id,direct_anchor,reactive_cascade,induced_cascade,periodic_gap,endogenous_unexplained,indeterminate,duration_s,induced_cascade_count,per_hour_rate,threshold_used,n_test_iters,n_ext,audit_era
A_idle,A_idle_rep100_1779812502,369,77,0,0,0,0,447.91,0,0.0,48308.0,1564,446,rich
A_idle,A_idle_rep101_1779813494,393,75,0,0,0,0,441.08,0,0.0,48032.0,1533,468,rich
A_idle,A_idle_rep102_1779814486,403,75,0,0,0,0,450.79,0,0.0,48103.0,1584,478,rich
A_idle,A_idle_rep103_1779815470,257,47,0,0,0,0,453.02,0,0.0,48286.0,1537,304,rich
A_idle,A_idle_rep104_1779816455,124,24,0,0,0,0,448.09,0,0.0,48328.0,1537,148,rich
A_idle,A_idle_rep105_1779817412,268,56,0,0,0,0,439.66,0,0.0,48272.0,1547,324,rich
A_idle,A_idle_rep106_1779818394,399,72,0,0,0,0,442.72,0,0.0,48106.0,1542,471,rich
A_idle,A_idle_rep107_1779819402,384,81,0,0,0,0,440.26,0,0.0,48099.0,1534,465,rich
A_idle,A_idle_rep108_1779820360,0,0,0,0,0,0,446.61,0,0.0,48139.0,1547,0,rich
A_idle,A_idle_rep109_1779821454,424,93,0,0,0,0,492.86,0,0.0,48133.0,1761,517,rich
A_idle,A_idle_rep10_1779805584,337,62,0,0,0,0,444.49,0,0.0,48335.0,1599,399,rich
A_idle,A_idle_rep1_1779763627,2,0,0,4,2,0,437.6,0,0.0,48078.0,1593,8,rich
A_idle,A_idle_rep1_1779764866,97,65,0,117,191,0,443.06,0,0.0,48067.0,1489,470,rich
A_idle,A_idle_rep1_1779792575,396,71,0,0,0,0,442.91,0,0.0,48126.0,1550,467,rich
A_idle,A_idle_rep2_1779765851,82,55,0,134,208,0,443.6,0,0.0,48291.0,1543,479,rich
A_idle,A_idle_rep2_1779793556,390,75,0,0,0,0,446.34,0,0.0,48283.0,1533,465,rich
A_idle,A_idle_rep3_1779766966,68,49,0,148,203,0,445.66,0,0.0,48302.0,1622,468,rich
B_flow_install,B_flow_install_rep1_1779767967,80,52,0,111,163,0,450.23,0,0.0,48065.0,1495,406,rich
B_flow_install,B_flow_install_rep2_1779768974,85,59,0,114,147,0,446.65,0,0.0,48070.0,1517,405,rich
B_flow_install,B_flow_install_rep3_1779769963,8,8,0,32,33,0,450.09,0,0.0,48327.0,1593,81,rich
C_ping_sustained,C_ping_sustained_rep1_1779772300,100,67,0,158,215,0,502.43,0,0.0,48082.0,1676,540,rich
C_ping_sustained,C_ping_sustained_rep2_1779773392,103,70,0,137,210,0,495.64,0,0.0,48156.0,1709,520,rich
C_ping_sustained,C_ping_sustained_rep3_1779774602,0,0,0,0,0,0,496.42,0,0.0,48180.0,1650,0,rich
D_attack_flush,D_attack_flush_rep10_1779803000,247,18,24,0,0,0,441.14,24,195.9,48080.0,1501,289,rich
D_attack_flush,D_attack_flush_rep11_1779808057,353,37,29,0,0,0,441.05,29,236.7,48078.0,1525,419,rich
D_attack_flush,D_attack_flush_rep1_1779775605,55,23,155,64,88,0,446.97,155,1248.4,48103.0,1548,385,sparse
D_attack_flush,D_attack_flush_rep1_1779794528,417,45,26,0,0,0,445.6,26,210.1,48068.0,1451,488,rich
D_attack_flush,D_attack_flush_rep1_1779897245,413,61,34,0,0,0,484.84,34,252.5,48258.0,1611,508,rich
D_attack_flush,D_attack_flush_rep1_1779898343,363,46,38,0,0,0,486.56,38,281.2,48267.0,1677,447,rich
D_attack_flush,D_attack_flush_rep1_1779899387,423,60,27,0,0,0,481.23,27,202.0,48142.0,1645,510,rich
D_attack_flush,D_attack_flush_rep1_1779900393,158,0,33,0,0,0,482.78,33,246.1,48098.0,1656,191,rich
D_attack_flush,D_attack_flush_rep1_1779901468,422,62,35,0,0,0,486.61,35,258.9,48254.0,1645,519,rich
D_attack_flush,D_attack_flush_rep1_1779902496,440,50,29,0,0,0,492.87,29,211.8,48128.0,1743,519,rich
D_attack_flush,D_attack_flush_rep1_1779903540,437,53,28,0,0,0,482.6,28,208.9,48271.0,1690,518,rich
D_attack_flush,D_attack_flush_rep1_1779904598,121,49,144,81,115,0,494.56,144,1048.2,48299.0,1644,510,sparse
