scenario,rep_id,audit_era,n_test_iters,n_flagged,threshold,direct_anchor,reactive_cascade,induced_cascade,periodic_gap,endogenous_unexplained,indeterminate,duration_s,first_lat_s,treatment
A_idle,A_idle_rep100_1779812502,rich,1564,432,48308.0,357,75,0,0,0,0,447.90652108192444,inf,T1_max
A_idle,A_idle_rep101_1779813494,rich,1533,468,48032.0,393,75,0,0,0,0,441.0840368270874,inf,T1_max
A_idle,A_idle_rep102_1779814486,rich,1584,241,48103.0,207,34,0,0,0,0,450.78722071647644,inf,T1_max
A_idle,A_idle_rep103_1779815470,rich,1537,0,48286.0,0,0,0,0,0,0,453.01601481437683,inf,T1_max
A_idle,A_idle_rep104_1779816455,rich,1537,47,48328.0,40,7,0,0,0,0,448.08638429641724,inf,T1_max
A_idle,A_idle_rep105_1779817412,rich,1547,297,48272.0,244,53,0,0,0,0,439.65822744369507,inf,T1_max
A_idle,A_idle_rep106_1779818394,rich,1542,471,48106.0,399,72,0,0,0,0,442.7219715118408,inf,T1_max
A_idle,A_idle_rep107_1779819402,rich,1534,465,48099.0,384,81,0,0,0,0,440.2585873603821,inf,T1_max
A_idle,A_idle_rep108_1779820360,rich,1547,0,48139.0,0,0,0,0,0,0,446.6120960712433,inf,T1_max
A_idle,A_idle_rep109_1779821454,rich,1761,336,48133.0,272,64,0,0,0,0,492.8585739135742,inf,T1_max
A_idle,A_idle_rep10_1779805584,rich,1599,205,48335.0,182,23,0,0,0,0,444.49448919296265,inf,T1_max
A_idle,A_idle_rep1_1779763627,rich,1593,0,48078.0,0,0,0,0,0,0,437.6029624938965,inf,T1_max
A_idle,A_idle_rep1_1779764866,rich,1489,470,48067.0,97,65,0,117,191,0,443.06332087516785,inf,T1_max
A_idle,A_idle_rep1_1779792575,rich,1550,466,48126.0,395,71,0,0,0,0,442.9143362045288,inf,T1_max
A_idle,A_idle_rep2_1779765851,rich,1543,479,48291.0,82,55,0,134,208,0,443.6004045009613,inf,T1_max
A_idle,A_idle_rep2_1779793556,rich,1533,439,48283.0,366,73,0,0,0,0,446.3375289440155,inf,T1_max
A_idle,A_idle_rep3_1779766966,rich,1622,468,48302.0,68,49,0,148,203,0,445.6621115207672,inf,T1_max
B_flow_install,B_flow_install_rep1_1779767967,rich,1495,330,48065.0,66,45,0,90,129,0,450.23384189605713,inf,T1_max
B_flow_install,B_flow_install_rep2_1779768974,rich,1517,341,48070.0,70,50,0,95,126,0,446.65291690826416,inf,T1_max
B_flow_install,B_flow_install_rep3_1779769963,rich,1593,0,48327.0,0,0,0,0,0,0,450.0884459018707,inf,T1_max
C_ping_sustained,C_ping_sustained_rep1_1779772300,rich,1676,539,48082.0,100,67,0,158,214,0,502.42786169052124,inf,T1_max
C_ping_sustained,C_ping_sustained_rep2_1779773392,rich,1709,520,48156.0,103,70,0,137,210,0,495.639041185379,inf,T1_max
C_ping_sustained,C_ping_sustained_rep3_1779774602,rich,1650,0,48180.0,0,0,0,0,0,0,496.4184296131134,inf,T1_max
D_attack_flush,D_attack_flush_rep10_1779803000,rich,1501,266,48080.0,231,11,24,0,0,0,441.1401252746582,0.08845901489257812,T1_max
D_attack_flush,D_attack_flush_rep11_1779808057,rich,1525,309,48078.0,263,17,29,0,0,0,441.05113911628723,0.22173380851745605,T1_max
D_attack_flush,D_attack_flush_rep1_1779775605,sparse,1548,315,48103.0,44,13,155,49,54,0,446.97479796409607,0.5079786777496338,T1_max
D_attack_flush,D_attack_flush_rep1_1779794528,rich,1451,488,48068.0,417,45,26,0,0,0,445.5994279384613,0.26987743377685547,T1_max
D_attack_flush,D_attack_flush_rep1_1779897245,rich,1611,486,48258.0,393,59,34,0,0,0,484.84301948547363,0.7310137748718262,T1_max
D_attack_flush,D_attack_flush_rep1_1779898343,rich,1677,320,48267.0,252,30,38,0,0,0,486.55622005462646,0.5970337390899658,T1_max
D_attack_flush,D_attack_flush_rep1_1779899387,rich,1645,507,48142.0,420,60,27,0,0,0,481.2320005893707,0.2765200138092041,T1_max
D_attack_flush,D_attack_flush_rep1_1779900393,rich,1656,189,48098.0,156,0,33,0,0,0,482.78136706352234,1.0579731464385986,T1_max
D_attack_flush,D_attack_flush_rep1_1779901468,rich,1645,519,48254.0,422,62,35,0,0,0,486.61102175712585,0.6194789409637451,T1_max
D_attack_flush,D_attack_flush_rep1_1779902496,rich,1743,519,48128.0,440,50,29,0,0,0,492.8745684623718,0.006601572036743164,T1_max
D_attack_flush,D_attack_flush_rep1_1779903540,rich,1690,518,48271.0,437,53,28,0,0,0,482.6039001941681,0.21721959114074707,T1_max
D_attack_flush,D_attack_flush_rep1_1779904598,sparse,1644,510,48299.0,121,49,144,81,115,0,494.5570583343506,0.4243941307067871,T1_max
D_attack_flush,D_attack_flush_rep1_1779905617,sparse,1686,185,45111.0,47,0,138,0,0,0,482.7057213783264,0.5915873050689697,T1_max
D_attack_flush,D_attack_flush_rep1_1779906668,sparse,1668,505,48272.0,99,25,142,94,145,0,481.37711477279663,0.23378634452819824,T1_max
D_attack_flush,D_attack_flush_rep1_1779907752,sparse,1716,509,48062.0,115,51,150,90,103,0,493.7917366027832,0.5614359378814697,T1_max
D_attack_flush,D_attack_flush_rep1_1779908779,sparse,1601,450,48316.0,87,33,152,69,109,0,494.84852170944214,0.25879645347595215,T1_max
D_attack_flush,D_attack_flush_rep1_1779909806,sparse,1688,369,48323.0,87,25,150,41,66,0,490.76390862464905,0.31534433364868164,T1_max
D_attack_flush,D_attack_flush_rep1_1779910808,sparse,1591,492,48079.0,85,42,165,93,107,0,480.6067898273468,0.7193930149078369,T1_max
D_attack_flush,D_attack_flush_rep2_1779776606,sparse,1493,347,48312.0,76,28,129,54,60,0,450.23367643356323,0.09190964698791504,T1_max
D_attack_flush,D_attack_flush_rep2_1779795493,rich,1522,448,48109.0,363,48,37,0,0,0,440.0075783729553,0.25185108184814453,T1_max
D_attack_flush,D_attack_flush_rep3_1779777599,sparse,1492,468,48304.0,98,45,138,85,102,0,446.5292544364929,0.5708732604980469,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779779845,sparse,1526,370,48296.0,66,24,132,66,82,0,446.3694055080414,0.7790861129760742,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779911828,sparse,1727,454,48312.0,66,20,159,91,118,0,495.3909695148468,0.019356966018676758,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779912878,sparse,1651,507,48074.0,98,42,149,81,137,0,480.9942214488983,0.2854430675506592,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779913899,sparse,1724,0,48274.0,0,0,0,0,0,0,492.2483789920807,inf,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779914908,sparse,1736,513,48321.0,111,49,143,71,139,0,494.4914917945862,0.5423731803894043,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779915921,sparse,1713,465,48302.0,108,41,141,67,108,0,494.6486487388611,0.7678101062774658,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779916997,sparse,1669,513,48293.0,103,46,155,83,126,0,488.6486051082611,0.17082738876342773,T1_max
E_attack_single_rule,E_attack_single_rule_rep1_1779917987,sparse,1725,501,48135.0,117,57,147,66,114,0,485.82541060447693,0.48567938804626465,T1_max
E_attack_single_rule,E_attack_single_rule_rep2_1779780861,sparse,1540,2,48297.0,0,1,1,0,0,0,441.90501141548157,1.6339025497436523,T1_max
E_attack_single_rule,E_attack_single_rule_rep3_1779781893,sparse,1449,485,48301.0,84,37,150,89,125,0,451.3355724811554,0.5824489593505859,T1_max
F_attack_burst,F_attack_burst_rep1_1779782895,sparse,1558,321,48314.0,84,27,136,36,38,0,444.3356533050537,0.04231762886047363,T1_max
F_attack_burst,F_attack_burst_rep1_1779919045,sparse,1737,464,48146.0,95,45,154,88,82,0,491.962854385376,0.0642855167388916,T1_max
