ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_addr_changed
1784482909.9084349,0,0,0.0000,0
1784482910.4430425,25,572,2.1841,126090362408960
1784482910.970073,0,0,0.0000,0
1784482911.4901469,15,210,2.4904,126090362408960
1784482912.023238,0,0,0.0000,0
1784482912.544419,15,130,1.6234,126090362408960
1784482913.0681558,0,0,0.0000,0
1784482913.5921087,15,122,1.6049,126090362408960
1784482914.1231172,0,0,0.0000,0
1784482914.648849,15,132,1.6758,126090362408960
1784482915.176035,0,0,0.0000,0
1784482915.6958194,15,130,1.6493,126090362408960
1784482916.2225914,0,0,0.0000,0
1784482916.7441561,15,122,1.6049,126090362408960
1784482917.2692063,0,0,0.0000,0
1784482917.7894592,15,132,1.6610,126090362408960
1784482918.313527,0,0,0.0000,0
1784482918.83333,15,130,1.6234,126090362408960
1784482919.3561144,11,106,1.8550,126090362408960
1784482919.879388,4,16,0.9171,277749760
1784482920.4040847,15,132,1.6610,126090362408960
1784482920.9302473,0,0,0.0000,0
1784482921.454702,15,130,1.6456,126090362408960
1784482921.9824734,0,0,0.0000,0
1784482922.5041916,15,123,1.6585,126090362408960
1784482923.0401392,0,0,0.0000,0
1784482923.5671184,15,132,1.6610,126090362408960
1784482924.0895329,0,0,0.0000,0
1784482924.6107144,15,129,1.6272,126090362408960
1784482925.1351018,0,0,0.0000,0
1784482925.656284,15,121,1.6087,126090362408960
1784482926.1828525,0,0,0.0000,0
1784482926.7056336,15,131,1.6648,126090362408960
1784482927.2320178,0,0,0.0000,0
1784482927.7540972,15,130,1.6456,126090362408960
1784482928.2789893,0,0,0.0000,0
1784482928.8012552,15,122,1.6049,126090362408960
1784482929.3230095,2,27,1.6579,126090362408960
1784482929.8422635,13,105,1.6487,126090350612480
1784482930.366528,11,114,1.8802,126090362408960
1784482930.8920665,4,17,1.0625,277753856
1784482931.4149928,15,121,1.5896,126090362408960
1784482931.939385,0,0,0.0000,0
1784482932.4654074,15,132,1.6610,126090362408960
1784482932.9940374,0,0,0.0000,0
1784482933.5140445,15,130,1.6456,126090362408960
1784482934.0393953,0,0,0.0000,0
1784482934.554946,15,124,1.6881,126090362408960
1784482935.07016,0,0,0.0000,0
1784482935.5817127,15,140,1.8622,126090362408960
1784482936.1073864,0,0,0.0000,0
1784482936.6401474,15,131,1.6511,126090362408960
1784482937.170236,0,0,0.0000,0
1784482937.6925972,15,122,1.5901,126090362408960
1784482938.222044,0,0,0.0000,0
1784482938.7408323,15,132,1.7062,126090362408960
1784482939.2740552,0,0,0.0000,0
1784482939.7991657,481,114558,3.1711,126090362413056
1784482940.3372355,0,0,0.0000,0
1784482940.8733358,0,0,0.0000,0
1784482941.3977442,0,0,0.0000,0
1784482941.934245,0,0,0.0000,0
1784482942.4655669,0,0,0.0000,0
1784482942.9916418,0,0,0.0000,0
1784482943.5200315,227,115295,2.7575,126090362408960
1784482944.0336921,131,196080,4.2511,126090362408960
1784482944.5670545,83,57979,3.6356,126090362408960
1784482945.071531,82,225715,5.9632,126090341089280
1784482945.5981088,104,113384,3.6047,126090362408960
1784482946.1139445,59,189204,6.9985,126090325413888
1784482946.62835,133,230472,4.7964,126090362408960
1784482947.1697385,23,46877,4.9849,280432640
1784482947.7036915,88,108283,3.7844,126090362408960
1784482948.2213328,0,0,0.0000,0
1784482948.7535977,0,0,0.0000,0
1784482949.2860174,106,185724,4.4873,126090362408960
1784482949.8017144,0,0,0.0000,0
1784482950.3322158,84,107339,3.8443,126090362408960
1784482950.8478756,106,185677,4.4598,126090362408960
1784482951.3718371,0,0,0.0000,0
1784482951.903031,132,256313,4.8046,126090362408960
1784482952.4450357,0,0,0.0000,0
1784482952.974487,140,270247,4.8758,126090362408960
1784482953.5199254,0,0,0.0000,0
1784482954.0490174,61,852,1.5751,126090362408960
1784482954.5502446,0,0,0.0000,0
1784482955.0836196,16,356,1.7492,126090362408960
1784482955.6217625,155,386270,5.8189,126090362408960
1784482956.1283913,0,0,0.0000,0
1784482956.6593406,15,249,1.7346,126090362408960
1784482957.1969738,0,0,0.0000,0
1784482957.7302485,13,114,1.4849,126090362408960
1784482958.2656581,0,0,0.0000,0
1784482958.7978957,13,106,1.6034,126090362408960
1784482959.3357599,0,0,0.0000,0
1784482959.8669524,13,117,1.7196,126090362408960
1784482960.4027708,6,38,1.3690,126090362408960
1784482960.9334323,7,76,1.5007,126090329321472
1784482961.4684553,13,107,1.6472,126090362408960
1784482962.0090609,0,0,0.0000,0
1784482962.5471122,13,115,1.6076,126090362408960
1784482963.0846593,0,0,0.0000,0
1784482963.618168,13,121,1.6852,126090362408960
1784482964.1536577,0,0,0.0000,0
1784482964.6843412,13,106,1.5702,126090362408960
1784482965.2164598,0,0,0.0000,0
1784482965.7456505,13,116,1.7016,126090362408960
1784482966.2800677,0,0,0.0000,0
1784482966.809588,13,113,1.4080,126090362408960
1784482967.3552432,2,14,1.3887,126090362408960
1784482967.8660762,11,93,1.7093,126090350252032
1784482968.3992777,6,44,1.8492,126090362408960
1784482968.932414,7,71,1.4004,126090329321472
1784482969.4637153,13,114,1.4849,126090362408960
1784482969.997139,0,0,0.0000,0
1784482970.528664,13,105,1.5146,126090362408960
1784482971.0673378,0,0,0.0000,0
1784482971.5965745,13,116,1.6845,126090362408960
1784482972.1360402,0,0,0.0000,0
1784482972.665539,13,113,1.4007,126090362408960
1784482973.20278,0,0,0.0000,0
1784482973.7391095,13,106,1.5906,126090362408960
1784482974.275598,0,0,0.0000,0
1784482974.812903,13,115,1.6816,126090362408960
1784482975.353042,0,0,0.0000,0
1784482975.891003,13,115,1.5223,126090362408960
1784482976.427194,8,84,2.1234,126090362408960
1784482976.964259,5,22,0.6851,126090324086784
1784482977.506421,13,117,1.6993,126090362408960
1784482978.042047,0,0,0.0000,0
1784482978.5772152,13,113,1.4153,126090362408960
1784482979.1103625,0,0,0.0000,0
